a|◊:b:o|m:b|	เ:อ|บ:อ|ม:บ:์|
l:e|v|i|t|a|s|	เ|ล:ว:ี|เ|ท|ิ|ส|
l|e|v|i:t|s|k:y|	ล|ี|ว:ี|ต|ส|ก:ี:้|
l|e|v|i|t|t|	เ|ล|ว|ิ|ต|ต:์|
l:e|v|y|	เ|ล:ว:ี|่:ย:์|
l|e:w|	ล|ู:ว:์|
l|e:w|e|l|l:e|n|	ล|ู|เ:อ|เ|ล|ิ:่:น|
l|e:w|i|n|	เ:ล|ว|ิ|น|
l|e:w|i|n|s|k|y|,|◊:m|o|n|i|c|a|	ล|ู:ว:์|อ:ิ|น|ส|ก|ี|,:◊|ม|อ|น|ิ|ก|า|
l|e:w|i|s|	ล|ิ:ว:อ|ิ|ส|
l:e:w|i:s|	ล:ุ|ย:ส:์|
l|e:w|i|s|	ล|ู:ว:์|อ:ิ|ส|
l|e:w|i|s|,:◊|h|e:n|r|y|	ล|ู:ว:์|อ:ิ|ส|,:◊:เ|ฮ|น|ร|ี|
l|e:w|i|s|,:◊|j|e|r:r:y|◊|l|e:e|	ล|ู:ว:์|อ:ิ|ส|,:◊:เ|จ|ร:์|ร:ี|◊|ล|ี|
l|e:w|i|s|,|◊|w|y|n|d|h:a:m|	ล|ู|อ:ิ|ส|,|◊|ว|ิ|น|ด|ั:ม|
l:e:w|i|s|t|o|n|	ล:ุ|ย|ส|ต|ั|น|
l:e|w|i|t|t|,:◊|s|o:l|	เ:ล:อ|ว|ิ|ต|ต:์|,:◊:โ|ซ|ล|
l:e|x:i|e|	เ:ล:็|ก:ซ:ี|่|
l|e|y|	เ|ล|ย:์|
l:e:y|d:e|n|	ไ:ล|เ:ด:ิ|้:น|
l:e:y|d|o:n|	เ:ล|เ:ด|ิ:้:น|
l|e|y|l:a|n:d|	ไ|ล|ย:์|เ:ล:ิ|น:ด:์|
l:e:y|s|	เ:ล|ส|
l:e:y|t|e|	เ:ล|เ|ต|
l:e:y|t|o:n|	เ:ล|เ:ต|ิ:้:น|
l|f|l|	แ:อ:ล|เ:อ:ฟ|แ:อ:ล|
l:h:a|s|a|	ล:า|ซ|า|
l|i|a|m|	ล|ี|อ:ั|ม|
l|i|a:m|	เ:ล|ี:ย|ม|
l|i|a|s|	ล|ี|แ:อ|ส|
l|i|a|s|	ไ|ล|แ:อ|ส|
l:i|a:w|	ไ:ล:อ|อ:ว:์|
l|i|b|b|e|y|	ล|ิ|บ|บ|ี|่:ย:์|
l|i|b|b|y|	ล|ิ|บ|บ|ี|
l|i|b|e|c|c|i:o|	ล|ิ|เ|บ|ช|โ|ช|
l:i|b:e|n|	ล:ี:เ|บ|ิ:่:น|
l|i|b|e|r|	ล|ิ|เ|บ|อ:ร:์|
l|i|b|e|r|m:a|n|	ล|ิ|เ|บ|อ:ร:์|เ:ม:ิ|น|
l|i|b|e|r|t:a|	ล|ิ|เ|บ|อ:ร:์|ต:้:า|
l|i|b|o|r|	ไ|ล|บ|อ|ร:์|
l|i|b|y|a|	ล|ิ|เ:บ|ี|ย|
l|i|c:c:a|r|d:i|	ล|ี|ค:า|ร:์|ด:ี:้|
l:i|c:h|e:n|	ไ:ล:เ|ค|น|
l:i|c:h|e|n|	ไ:ล:เ|ค|็|น|
l:i|c:h|e:n:◊|p|l|a:n|u|s|	ไ:ล:เ|ค|น|แ:พ|ล|น|ั|ส|
l|i|c:h|t|	ล|ิ|ก|ต:์|
l|i|c:h|t|b|l:a:u|	ล|ิ|ช|ต:์|เ:บ|ล:า|
l|i|c:h|t:e|n|b|e|r|g:e|r|	ล|ิ|ก|เ:ท:ิ|น|เ|บ|อ:ร:์|เ:ก:อ|ร:์|
l|i|c:h|t|e:n|s|t:e:i|n|,:◊|r|o|y|	ล|ิ|ช|เ:ท|น|ส|ไ:ต|น|์:,:◊|ร|อ|ย|
l|i|c:h|t:y|	ล|ิ|ช|ต:ี:้|
l|i|c:k|	ล|ิ|ก|
l|i|d|d:e|l|	ล|ิ|ด|เ:ด:ิ|ล|
l|i|d|d|l:e|	ล|ิ|ด|เ:ด:ิ|ล|
l|i|d|d|y|	ล|ี|ด|ด|ี|
l|i|d:e|	ล|ิ|ด|
l:i|d:e|l|	ไ:ล:เ|ด|ล|
l|i|d|o|f:f|	ล|ี|ด|อ|ฟ|
l|i:e|b|	ล|ิ|๊:บ|
l|i:e|b|e|r|	ล|ี|เ|บ|อ:ร:์|
l|i:e|b|e|r|m:a|n|	ล|ี|เ|บ|อ:ร:์|เ:ม:ิ|น|
l|i:e|b:e|r|t|	ล|ี|เ:บ:ิ|ร:์|ต|
l|i:e|b|l:i|n:g|	ล|ี|บ|ล:ิ:่|ง|
l|i:e|b|m:a:n|n|	ล|ิ|บ|เ:ม|ิ:่:น|
l|i:e|b|o|w|i|t:z|	ล|ี|เ:บ|อ|ว|ิ|ต:ส:์|
l|i:e|c:h|t|e:n|s|t:e:i|n|	ล|ิ|ก|เ:ต|น|ส|ไ:ต|น:์|
l|i:e|c:h|t|e:n|s|t:e:i|n|	ล|ิ|ค|เ:ต|น|ส|ไ:ต|น:์|
l|i:e|d:e|r|	ล|ิ|ด:เ:ด|อ:ร:์|
l|i:e|d:t|k:e|	ล|ิ|ต|ค:ี:่|
l|i:e|f|	ล|ิ|ฟ|
l|i:e|n|	ล|ิ|น|
l|i:e|n|h|a|r|d|	ล|ิ|น|ฮ|า|ร:์|ด|
l:i:e|s|	ไ:ล|ส:์|
l|i:e|v|r:e|	ล|ี|เ:ว|อ:ร:์|
l|i|e:w|e|r|	ล|ิ|ว:ย:ู|เ:อ|อ:ร:์|
l|i|f|e|g:u:a|r|d|	ไ|ล|ฟ|์|ก:า|ร:์|ด|
l|i|f|e|s:p|a:n|	ไ|ล|ฟ|์|ส:แ:ป|น|
l|i|f|e|s|t|y:l|e|	ไ|ล|ฟ|์|ส:ไ|ต|ล|์|
l|i|f:f|	ล|ิ|ฟ|
l|i|f|t|	ล|ิ|ฟ|ต:์|
l|i|f|t|o:n|	ล|ิ|ฟ|เ:ต|ิ:้:น|
l:i:g|a|n:d|	ล:ิ|แ:ก|น:ด:์|
l|i|g|g:e:t|	ล|ิ|ก|ิ:ต|
l|i:g:h|t|	ไ|ล|ต:์|
l|i:g:h|t|◊|a|n|d|◊|s|o|u|n:d|	ไ|ล|ต|์|แ:อ|น|ด|์|ซ|า|ว|น:ด:์|
l|i:g:h|t:◊|f|l:y|w:e:i|g:h:t|	ไ|ล|ต|์:ฟ|ล:า:ย|เ:ว|ต|
l|i:g:h|t|◊|h:e:a|v|y|w:e:i|g:h:t|	ไ|ล|ต|์|เ:ฮ|ฟ:ว|ี|เ:ว|ต|
l|i:g:h|t|◊:m:i|d|d|l:e|w:e:i|g:h:t|	ไ|ล|ต:์|ม:ิ|ด|เ:ด:ิ|ล|เ:ว|ต|
l|i:g:h|t|◊|w:e:i|g:h:t|	ไ|ล|ต|์|เ:ว|ต|
l|i:g:h|t|◊|w:e|l|t:e|r|w:e:i|g:h:t|	ไ|ล|ต:์|เ|ว|ล|เ:ต:อ|ร:์|เ:ว|ต|
l|i:g:h|t|b|o|d:y|	ไ|ล|ต:์|บ|อ|ด:ิ:้|
l:i|g:h:t|e:r|	ไ:ล:เ|ต|อ:ร:์|
l|i:g:h|t|f:o:o|t|	ไ|ล|ต:์|ฟ:ุ|๊:ต|
l|i:g:h|t|m:a|n|	ไ|ล|ท:์|เ:ม:ิ|น|
l|i:g:h|t|n:e|r|	ไ|ล|ต:์|เ:น:อ|ร:์|
l|i:g:h|t|w:e:i|g:h:t|	ไ|ล|ต:์|เ:ว|ต|
l|i:g:h|t|w:o:o|d|	ไ|ล|ต:์|ว:ู|๊:ด|
l|i|g|n|i|n|	ล|ิ|ก|น|ิ|น|
l|i|g|n|i:t|e|	ล|ิ|ก|ไ:น|ต|์|
l|i|g:o|	ล|ิ|โ:ก:้|
l|i|g|u|r|i|a:n|	ล|ิ|ก|ู|เ:ร|ี:ย|น|
l:i:h|	ล:ี|
l|i:i|m|a|t:a|i:n:e|n|	ล|ี:เ:อ|เ:ม|อ|เ:ท:เ|น|ิ:่:น|
l|i|k:e|r|t|	ล|ิ|เ:ก:ิ|ร:์|ต|
l:i|k|e:r|t|	ไ:ล:เ|ค|ิ:ร:์|ต|
l|i|k|e:s|	ไ|ล|ก:์|ส|
l|i|l:a|	ล|ิ|ล:่:า|
l|i:l|a|c|	ไ|ล|แ|ล:็:ก|
l|i|l|e:s|	ไ|ล|ล:์|ส|
l|i|l|i|	ล|ี|ล|ี:่|
l|i|l|i|a:n|	ล|ิ|เ:ล|ี:ย|น|
l|i|l|i:e|n|t:h:a|l|	ล|ิ|ล|ิ|น|เ:ท|ิ:ล|
l|i|l:l|	ล|ิ|ล:ล:์|
l|i|l|l|e:y|	ล|ิ|ล|ล|ี:ย:์|
l|i|l|l|i|a:n|	ล|ิ|ล|เ:ล|ี:ย|น|
l|i|l|l|i:e|	ล|ิ|ล|ล|ิ|
l:i:l|l:i|e:n|	ล:ี|เ:ล:ี|่:ย:น|
l|i|l|l|i:n:g|t|o:n|	ล|ิ|ล|ล|ิ:ง|เ:ต:ิ|น|
l|i|l|l|i|p|u|t|	ล|ิ|ล|ล|ิ|พ|ุ|ต|
l:i:l|l|i|s|	ล:ี|ล|ิ|ส|
l|i|l:l:o|	ล|ิ:ล|โ:ล|
l|i|l|l:y|	ล|ิ|ล|ล:ี:่|
l|i|l|o|n|g|w:e|	ล|ิ|ล|อ|ง|เ|ว|
l|i|m|	ล|ิ|ม|
l|i|m|a|	ล|ิ|ม|า|
l|i|m|a|c|o|n|	ล|ี|ม|า|ซ|อ|ง|
l|i|m:b|	ล|ิ|ม:บ:์|
l|i|m:b:a|u:g:h|	ล|ิ|ม|โ:บ|
l|i:m|e|	ไ:ล|ม|์|
l|i|m|e:-|s|o:d|a|	ไ|ล|ม:์|-|โ:ซ|ด|า|
l|i|m:e|r|i|c:k|	ล|ิ|เ:ม:อ|ร|ิ|ก|
l:i|m:e|r:i|c:k|	ไ:ล:เ|ม|อ:ร:ิ|ก|
l|i|m|n|i|c|	ล|ิ|ม|น|ิ|ก|
l|i|m|n:o:l|o|g|y|	ล|ิ|ม|โ:น|โ:ล|ย|ี|
l|i|m|o|n|	ล|ิ|ม|อ|น|
l|i|m:o|n|	ล|ิ|เ:ม:ิ|น|
l|i|m:o|n|i:t|e|	ล|ิ:โ|ม|ไ:น|ต|์|
l|i:m|o|n|i:t|e|	ไ:ล|ม|อ|ไ:น|ต|์|
l|i|m:p|	ล|ิ|ม:ป:์|
l|i|n|	ล|ิ|น|
l|i|n|a|c|r:e|	ล|ิ|น|อ:า|เ:ค|อ:ร:์|
l|i|n|c|h|	ล|ิ|น|ช|์|
l|i|n:c|k|	ล|ิ|ง|ก:์|
l|i|n|c|o|l|n|	ล|ิ|ง|ค|อ|ล|์:น|
l|i|n|c|o|l|n|	ล|ิ|น|ค|อ|ล|์:น|
l|i|n|c|o|l|n|,:◊|a|b:r|a|h|a:m|	ล|ิ|ง|ค|อ|ล|์:น|,:◊:เ|อ|บ:ร:า|แ|ฮ|ม|
l|i|n:d|	ล|ิ|น:ด:์|
l|i|n|d|a|	ล|ิ|น|ด|า|
l|i|n|d:a:h|l|	ล|ิ|น|ด:ั|ล|
l|i|n|d|a:n:e|	ล|ิ|น|เ:ด|น|
l|i|n|d|a|u|e:r|	ล|ิ|น|เ:ด|า|เ:อ|อ:ร:์|
l|i:n|d|b:e|r|g|	ไ:ล|น|ด:์|เ:บ:ิ|ร:์|ก|
l|i|n:d|b:e|r|g:h|	ล|ิ|น:ด:์|เ:บ:ิ|ร:์|ก|
l|i|n|d|e|	ล|ิ|น|ด|์|
l|i|n|d:e|m|a|n:n|	ล|ิ|น|ด|อ:เ:ม|ิ:่|น|
l|i|n|d:e|n|	ล|ิ|น|เ:ด:ิ|น|
l|i:n|d:e|n|b|a|u|m|	ไ:ล|น|์:เ:ด|ิ:น|เ|บ|า|ม:์|
l|i:n|d:e|n|b:e|r|g|	ล|ิ:น:เ|ด|ิ:้:น|เ:บ:ิ|ร:์|ก|
l|i|n|d:e|r|	ล|ิ|น|เ:ด:อ|ร:์|
l|i|n:d|g|r|e:n|	ล|ิ|น:ด:์|เ:ก|ร|น|
l|i|n:d|g|r|e|n|	ล|ิ|น|เ:ก|ร|็|น|
l|i|n|d|h:o|l|m|	ล|ิ|น|ด|์:โ:ฮ|ล:์|ม|
l|i|n:d|h|o|r|s|t|	ล|ิ|น:ด:์|ฮ|อ|ร:์|ส|ต|
l|i|n:d|l|e:y|	ล|ิ|น:ด:์|ล|ี:ย:์|
l|i|n:d|n:e|r|	ล|ิ|น:ด:์|เ:น:อ|ร:์|
l|i|n|d|o:n|	ล|ิ|น|เ:ด|ิ:่:น|
l|i|n|d:o|w|	ล|ิ|น:โ|ด|้|
l|i|n:d|q|u|i|s|t|	ล|ิ|น:ด:์|ค|ว|ิ|ส|ต:์|
l|i|n|d|r|u|m|	ล|ิ|น|เ:ด|ร|ิ|ม|
l|i|n:d|s|a|y|	ล|ิ|น:ด:์|เ:ซ|ย|์|
l|i|n:d|s|e:y|	ล|ิ|น:ด:์|ซ|ี:ย:์|
l|i|n:d|s|l|e:y|	ล|ิ|น:ด:์|ส|ล|ี:ย:์|
l|i|n:d|s:t|r:o|m|	ล|ิ|น:ด:์|ส:เ:ต|ร|ิ:ม|
l|i|n:d|v:a|l:l|	ล|ิ|น:ด:์|เ:ว:ิ|ล|
l|i|n|d:y|	ล|ิ|น|ด:ี:้|
l|i:n|e|	ไ:ล|น|์|
l|i:n|e|◊|p|r:o|d:u|c:e|r|	ไ:ล|น|์|โ|ป|ร|ด:ิ:ว|เ:ซ:อ|ร:์|
l:i|n:e|a|r|◊|a|l|k|y:l:◊|s|u|l|f:o|n|a:t:e|	ล:ิ:เ|น|ี:ย|ร|์|แ:อ|ล|ค|ิ:ล|ซ|ั|ล|โ:ฟ:เ|น|ต|
l|i|n|e:b:a|u:g:h|	ล|ี|น|ี:บ|อ|
l|i|n|e|h|a:n|	ล|ิ|น:ี|แ|ฮ|น|
l|i|n:e|n|	ล|ิ|น|ิ:น|
l|i|n:e|n|	ล|ิ|เ:น:ิ|น|
l|i|n|e:s|	ไ|ล|น:์|ส|
l|i:n:e|s|m|a:n|	ไ:ล|น|ส:์|แ:ม|น|
l|i|n|e|s:m|a:n|	ไ|ล|น:์|แ|ม|น|
l|i:n|e|w:e:a|v:e|r|	ไ:ล|น|์|ว:ี|เ:ว:อ|ร:์|
l|i|n|f:o|r|d|	ล|ิ|น|เ:ฟ:ิ|ร:์|ด|
l|i:n:g|	ล|ิ:ง|
l|i:n:g|g|a|	ล|ิ:ง|ก|า|
l|i|n|g:h:a|m|	ล|ิ|ง|แ:ฮ|ม|
l|i|n|g|l:e|	ล|ิ|ง|เ:ก:ิ|ล|
l|i|n|g|u|i|n|i|	ล|ิ|ง|ก|ว|ี|น|ี|
l|i|n|h:a|r|e:s|	ล|ิ|น|เ:ฮ:ิ|ร:์|ส|
l|i|n:k|	ล|ิ|ง:ก:์|
l|i|n|k|e|	ล|ิ|ง|ก|์|
l|i|n|k|l|a:t:e|r|	ล|ิ|น:แ|ก|ล:เ|ต|อ:ร:์|
l|i|n|k|l:e|t|t:e|r|	ล|ิ|ง|เ:ค|ล|ต|เ:ต:อ|ร:์|
l|i|n|l|e:y|	ล|ิ|น|ล|ี:ย:์|
l|i|n|l|i|t|h:g:o|w|	ล|ิ|น|ล|ิ|ท|โ:ก|ว:์|
l|i|n|n|	ล|ิ|น|น:์|
l|i|n|n:a:e|u:s|	ล|ิ|น|เ:น|ี:ย:ส|
l|i:n|s:a|y|	ล|ิ:น:เ|ซ|ย:์|
l|i|n|s|c|o:t:t|	ล|ิ|น|ส:เ|ก|ิ:ต|
l|i|n|s|e:e|d|	ล|ิ|น|ส|ี|ด|
l|i|n|s|l|e:y|	ล|ิ|น|ส|ล|ี:ย:์|
l|i|n|t:e|r|	ล|ิ|น|เ:ต:อ|ร:์|
l|i|n|t:h:i|c|u:m|	ล|ิ|น|ท:ี|เ:ค|ิ:้:ม|
l|i|n|t|o|n|	ล|ิ|น|ต|ั|น|
l|i|n|t|o:n|	ล|ิ|น|เ:ต:ิ|น|
l|i:n|u|s|	ไ:ล|น|ั|ส|
l|i|n|z|	ล|ิ|น|ส:์|
l|i|n|z:a|	ล|ิ|น|ซ:่:า|
l:i|o|n|	ไ:ล:อ|อ|น|
l:i|o|n|	ไ:ล:อ|ั|น|
l|i|o|n:e|	ไ|ล|โ:อ|น:ี:่|
l|i|o|n|e:l|	ไ|ล|โ:อ|เ:น|ล|
l|i|p|◊:g:l|o|s:s|	ล|ิ|ป|ก:ล|อ|ส|
l|i|p|-:s:y|n:c|	ล|ิ|ป|ซ:ิ|ง:ก:์|
l|i|p|a:s:e|	ล|ิ|เ:ป|ส|
l|i|p|i|d|	ล|ิ|ป|ิ|ด|
l|i|p|i|d|	ล|ิ|พ|ิ|ด|
l|i|p|i:n|	ไ|ล|พ|ิ:้:น|
l|i|p|k|i:n|	ล|ิ|ป|ค|ิ:้:น|
l|i|p|k|o|w|i|t:z|	ล|ิ|ป|เ:ค|อ|ว|ิ|ต:ส:์|
l|i|p|m:a:n|n|	ล|ิ|ป|เ:ม|ิ:่:น|
l|i|p|p|e|	ล|ิ|ป|ป|์|
l|i|p|p:e|r:t|	ล|ิ|ป|เ:พ:ิ|ร:์:ด|
l|i|p:p|m:a:n|n|	ล|ิ|ป|เ:ม|ิ:น|
l|i|p|p|o:l|d|	ล|ิ:ป|โ|พ|ล|ด:์|
l|i|p|s:c:h|i|t:z|	ล|ิ|พ|ช|ิ|ท:ซ:์|
l|i|p|s|c|o|m:b|	ล|ิ|ป|ส|เ:ค|ิ:่|ม|
l|i|p|s|e:y|	ล|ิ|ป|ซ|ี:ย:์|
l|i|p|s:h:u|t|z|	ล|ิ|ป|เ:ช|ิ:ต|ส:์|
l|i|p|s|k:y|	ล|ิ|ป|ส:ไ|ก|
l|i|p|s:o|	ล|ิ:ป|โ|ซ|
l|i|p|s|o|n|	ล|ิ|ป|ส|ั|น|
l|i|p|s|o|s|	ล|ิ|ป|ซ|อ|ส|
l|i|p|s|t|i|c:k|	ล|ิ|ป|ส|ต|ิ|ก|
l|i|p|t|i|n|i:t|e|	ล|ิ|ป|ท|ิ|ไ:น|ต|์|
l|i|p|t:o:n|,:◊|t:h|o|m|a|s|	ล|ิ|ป|ต:ั|น:,:◊|ท|อ|ม|ั|ส|
l|i|q:u:e|u:r|	ล|ิ|เ:ค|อ:ร:์|
l|i|q:u:e|u|r|	ล|ิ|เ:ค|ี:ย:ว|ร:์|
l|i|q|u|i|d|	ล|ิ|ค|ว|ิ|ด|
l|i|q|u|i|d|◊:p:a|p:e|r|	ล|ิ|ค|ว|ิ|ด|เ:ป|เ:ป:อ|ร:์|
l|i|s|a|	ล|ี|ซ|า|
l|i:s|a|	ไ:ล|ซ|า|
l|i|s|b|e:t:h|	ล|ิ|ส|บ:ิ|ท|
l|i|s|b|o|n|	ล|ิ|ส|บ|อ|น|
l|i|s|c:o|	ล|ิ|ส|โ:ก:้|
l|i|s:i|	ล|ี|ซ:ี:่|
l|i|s|k:a|	ล|ิ|ส|ก:้:า|
l|i|s|p|	ล|ิ|ส|ป:์|
l|i|s|r|e:l|	ล|ิ|ส|เ:ร|ล|
l|i|s:s|	ล|ิ|ส|
l|i|s:s:a|n|t|	ล|ี|ซ:อ|น|ต:์|
l|i|s|s|e:r|	ล|ิ|ส|เ:ซ|อ:ร:์|
l|i|s|s|n:e|r|	ล|ิ|ส|เ|น|อ:ร:์|
l|i|s|t|	ล|ิ|ส|ต:์|
l|i|s|t:e|r|	ล|ิ|ส|เ:ต:อ|ร:์|
l|i|s|t|o|n|	ล|ิ|ส|ต|ั|น|
l|i|s:t|o:n|	ล|ิ|ส:เ:ต|ิ:้:น|
l|i|s|t:o:w|e:l|	ล|ิ|ส|โ:ท|ว:ั:ล|
l|i|s|z|t|,:◊|f|r|a|n:z|	ล|ิ|ส|ซ|ต|์:,:◊|ฟ|ร|ั|น:ซ:์|
l|i|t:c:h|f:i:e|l|d|	ล|ิ|ก|ฟ:ิ|ล|ด:์|
l|i|t|c:h:i|	ล|ิ|ต|ช:ี|
l|i|t|e|	ล|ิ|ต|ร|
l|i|t:e|r|	ล|ิ|ต|ร|
l:i|t:h|e:r|l:a|n:d|	ล:ี:เ|ท|อ:ร:์|เ:ล:ิ|น:ด:์|
l|i|t:h|g|o:w|	ล|ิ|ท|เ:ก|า|
l|i|t:h:i|u:m|	ล|ิ|เ:ท|ี:ย:ม|
l|i|t:h:i|u:m|◊:h:y|p|o:c:h|l:o|r:i|t|e|	ล|ิ|เ:ท|ี:ย:ม|ไ:ฮ|โ|ป:ค|ล|อ:ไ:ร|ต|์|
l:i|t:h:i|u:m:◊|i|o|n|	ล:ิ:เ|ท:ี|ย:ม|ไ:อ|อ:อ|น|
l|i|t:h:o|d:e:s|	ล|ิ|โ:ธ|ด|
l|i|t:h:o|m|o|r|p:h:i|c|	ล|ิ|โ:ท|ม|อ|ร:์|ฟ:ิ|ก|
l|i|t:h:o|s|o|l|	ล|ิ|โ:ท|ซ|อ|ล|
l|i|t:h:o|s|o|l|s|	ล|ิ|โ:ท|ซ|อ|ล|ส:์|
l|i|t|h:u:a|n:i|a|	ล|ิ|ท|ั:ว|เ:น:ี|ย|
l|i|t:h|u:a|n|i|a|	ล|ิ|ธ|ั:ว:เ|น|ี|ย|
l|i|t|k:e|	ล|ิ|ต|ค:ี:่|
l:i|t|l:e|	ไ:ล:เ|ท:ิ|ล|
l|i|t|m|u|s|	ล|ิ|ต|ม|ั|ส|
l|i|t:r:e|	ล|ิ|ต:ร|
l|i|t|t|	ล|ิ|ต|ต:์|
l|i|t|t|a|u|e:r|	ล|ิ|ต|เ:ท|า|เ:อ|อ:ร:์|
l|i|t|t:e|l|	ล|ิ|ต|เ:ท:ิ|ล|
l|i|t|t:e|l:l|	ล|ิ|ต|เ:ต:ิ|ล|
l|i|t|t|l:e:◊|r:o|c:k|	ล|ิ|ต|เ:ต|ิ:ล|ร:็:อ|ก|
l|i|t|t|l:e|f:i:e|l|d|	ล|ิ|ต|เ:ต:ิ|ล|ฟ:ิ|ล|ด:์|
l|i|t|t|l:e|j|o|h|n|	ล|ิ|ต|เ:ท:ิ|ล|จ|อ|ห:์|น|
l|i|t|t|l:e|r|	ล|ิ|ต|เ:ท:ิ|ล:เ:ล|อ:ร:์|
l|i|t|t|l:e|t|o:n|	ล|ิ|ต|เ:ต:ิ|ล|เ:ต|ิ:้:น|
l|i|t|t|l:e|w:o:o|d|	ล|ิ|ต|เ:ต:ิ|ล|ว:ู|ด|
l|i|t|t|o:n|	ล|ิ|ต|เ:ต|ิ:้:น|
l:i|u|b|l|j|a|n|a|	ล|ิ:ว|เ:บ|ิ:ล|ย|า|น|า|
l|i|u|m|	ล|ี|อ:ั|ม|
l|i:v:e|l|y|	ไ:ล|ฟ:์|ล:ี:่|ย:์|
l|i|v:e|n|g:o:o|d|	ล|ิ|ว:ิ:่|น|ก:ู|๊:ด|
l:i|v:e|r:i|g:h:t|	ล:ี:เ|ว|อ:ไ:ร|ท:์|
l|i|v:e|r|m:o:r|e|	ล|ี|ฟ:เ:ว|อ:ร:์|ม|อ:ร:์|
l|i|v:e|r|p:o:o|l|	ล|ิ|เ:ว:อ|ร:์|พ:ู|ล|
l|i|v|e:s:a|y|	ล|ี|ว:ี|เ:ซ|ย:์|
l|i|v|e|s:e|y|	ล|ี|ว|ี|ซ|ี:่|
l:i|v:i|a|	ล:ิ:เ|ว|ี:ย|
l|i:v|i|n:g:◊|r:o:o|m|	ล|ิ:ฟ:ว|ิ|ง|ร:ู|ม|
l|i:v|i:n:g|s:t|o:n|	ล|ิ:ฟ:ว|ิ:ง|ส:เ:ต|ิ:่:น|
l|i:v|i:n:g|s:t|o:n:e|	ล|ิ:ฟ:ว|ิ:ง|ส:โ:ต|น|
l|i|v|i|u|s|	ล|ี|ว|ี|อ:ั|ส|
l|i|z|	ล|ิ|ซ|
l|i|z|a|	ล|ี|ซ|า|
l|i|z|a|	ไ|ล|ซ|า|
l:i|z|a:r|s|	ล:ี:เ|ซ|ิ:ร:์|ส|
l|i:z:z|	ล|ิ:ส|
l|i|z|z|i:e|	ล|ิ|ซ|ซ|ี|
l|i|z|z|y|	ล|ิ|ซ|ซ|ี|
l|j:u|b|l|j:a|n|a|	ล|ี:อ:ู|บ|ล|ี:อ:า|น|า|
l:l|a|m|a|	ล|า|ม|า|
l:l|e:w|	ล|ู|
l:l|e:w|e|l|l|y|n|	ล|ู|เ:อ|ล|ล|ิ|น|
l:l|e:w:e|l|y|n|	ล|ุ:ย|ล|ิ|น|
l:l|o|y:d|	ล|อ|ย:ด:์|
l:l|o|y:d|,|◊:c:h|r|i|s|◊|e|v:e|r|t|	ล|อ|ย:ด:์|,:◊|ค|ร|ิ|ส|◊|เ:อ|เ:ว:ิ|ร:์|ต|
l|n|a|p|l|	แ:อ:ล|เ:อ:็|น:เ:อ|พ:ี|แ:อ:ล|
l|n|g|	แ:อ:ล|เ:อ:็|น:จ:ี|
l:o:a|m|	โ:ล|ม|
l:o|a|r|	ล|อ|ร:์|
l|o|b|a|c:h:e|v|s|k|i|	โ|ล|บ|า|เ:ช|ฟ|ส|ก|ี|
l:o|b|b:a|n|	ล:็:อ|บ|เ:บ:ิ|น|
l:o|b|b|y|	ล:็:อ|บ|บ|ี|
l:o|b|b|y|i|s|t|	ล:็:อ|บ|บ|ี|ย:ิ|ส|ต:์|
l:o|b|b|y|i|s|t|	ล:็:อ|บ|บ|ี|อ:ิ|ส|ต:์|
l:o|b|d:e|l:l|	ล:็:อ|บ|เ:ด:ิ|ล|
l|o|b:e|	โ|ล|บ|
l:o|b|s|t:e|r|	ล:็:อ|บ|ส|เ:ต:อ|ร:์|
l|o|b:y|	โ|ล|บ:ี:้|
l|o|c|a|r|n:o|	โ|ล|ค|า|ร:์:โ|น|
l:o|c:a|t:i:o|n|	โ:ล:เ|ก|ช:ั|่:น|
l:o|c:a|t:i:o|n|	โ:ล:เ|ค|ช:ั|น|
l:o|c:h|	ล:็:อ|ก|
l|o|c:h:a|n|	ล|อ|ค:ั|น|
l:o|c:h|n:e|r|	ล:็:อ|ก|เ:น:อ|ร:์|
l:o|c:k|	ล:็:อ|ก|
l:o|c:k|	ล:็:อ|ค|
l:o|c:k:◊|s|p:e|c|	ล:็:อ|ก|ส:เ|ป|ก|
l:o|c:k:e|	ล:็:อ|ก|
l:o|c:k|e:,:◊|j|o|h|n|	ล:็:อ|ก|,:◊|จ|อ|ห:์|น|
l:o|c|k:e|r|	ล:็:อ|ก|เ:ก:อ|ร:์|
l:o|c|k:e|r|	ล:็:อ|ก|เ:ค:อ|ร:์|
l:o|c|k|e:t:t|	ล:็:อ|ก|ค|ิ:ต|
l:o|c|k|e:y|	ล:็:อ|ก|ค|ี:ย:์|
l:o|c:k|h|a|r|t|	ล:็:อ|ก|ฮ|า|ร:์|ต|
l:o|c:k|h|e:e|d|	ล:็:อ|ก|ฮ|ี|ด|
l:o|c:k|l:e:a|r|	ล:็:อ|ก|เ:ล|อ:ร:์|
l:o|c:k|l|e:y|	ล:็:อ|ก|ล|ี:ย:์|
l:o|c:k|l|i:n|	ล:็:อ|ก|ล|ิ:่:น|
l:o|c:k|m:a|n|	ล:็:อ|ก|เ:ม:ิ|น|
l:o|c:k|r|i|d:g:e|	ล:็:อ|ก|ร|ิ|จ|
l:o|c:k|w:o:o|d|	ล:็:อ|ก|ว:ู|ด|
l:o|c:k|y:e|r|	ล:็:อ|ก|เ:ย:อ|ร:์|
