a:'|m|a|r|i:e|	ಅ|ಮ|ಾ|ರ|ೀ|
k:a|m|a|n|d|e|	ಕ|ಮ|ಾ|ಂ|ಡ|ೆ|
k|i|r|t|l|e:y|	ಕ|ಿ|ರ:್|ಟ:್|ಲ|ೆ|
m|i|c:h|e|n:e|r|	ಮ|ಿ|ಕ|ೆ|ನ|ರ:್|
o|r|m|o|n|d|	ಒ|ರ:್|ಮ|ಾ|ಂ|ಡ:್|
w|h|i|t|a|k|e|r|	ವ:್|ಹ|ಿ|ಟ|ಾ|ಕ|ೇ|ರ:್|
j|a|m|i:e|	ಜ|ೇ|ಮ|ೀ|
h|o:w|	ಹ|ೌ|
s|i|d:d|o|n|s|	ಸ|ಿ|ಡ|ೋ|ನ:್|ಸ:್|
j:a|m|i|l|	ಜ|ಮ|ಾ|ಲ:್|
j:a|m|i|s:o|n|	ಜ|ಮ|ಿ|ಸ|ನ:್|
j:a|m|m|u|	ಜ|ಮ:್|ಮ|ು|
j:a|m|s:h|e|d|p|u|r|	ಜ|ಂ|ಷ|ೆ|ಡ:್|ಪ|ು|ರ:್|
j|a|n|	ಜ|ಾ|ನ|
p:a|h:e|c:h|a|n|	ಪ|ಹ|ಚ|ಾ|ನ:್|
j:a|n:a|k|	ಜ|ನ|ಕ:್|
j|a|n:a|k|i|	ಜ|ಾ|ನ|ಕ|ಿ|
j:a|n:a|m|	ಜ|ನ|ಮ:್|
j:a|n:a|n|	ಜ|ನ|ನ:್|
j:a|n:a|s|a|h|	ಜ|ನ|ಸ|ಾ|ಹ:್|
j:a|n:a|t:h|a|v|a|n|i|	ಜ|ನ|ತ|ಾ|ವ|ಾ|ಣ|ಿ|
j:a|n|d|a|	ಜ|ಂ|ದ|ಾ|
p:a|u|l|i|	ಪ|ೌ|ಲ|ಿ|
j:a|n|e|l|l|e|	ಜ|ನ|ೆ|ಲ:್|ಲ|ಿ|
j:a|n|g:a|l|	ಜ|ಂ|ಗ|ಲ:್|
m:a|n|g:a|l|	ಮ|ಂ|ಗ|ಲ:್|
j|a|n|j|g|i|r|	ಜ|ಾ|ಂ|ಜ:್|ಗ|ಿ|ರ:್|
j:a|n|j|i|r|a|	ಜ|ಂ|ಜ|ೀ|ರ|ಾ|
j:a|n|m:a|b:h|o:o|m|i|	ಜ|ನ:್|ಮ|ಭ|ೂ|ಮ|ಿ|
j|a|n|o:o|	ಜ|ಾ|ನ|ೂ|
j:a|n|t|a|	ಜ|ನ|ತ|ಾ|
h:a|w:a|l|d:a|a|r|	ಹ|ವ|ಲ|ದ|ಾ|ರ:್|
j:a|n|t:a|r|	ಜ|ಂ|ತ|ರ:್|
m:a|n|t:a|r|	ಮ|ಂ|ತ|ರ:್|
j|a|n|u:a|r|y|	ಜ|ಾ|ನ|ವ|ರ|ಿ|
j|a|n|w:a|r|	ಜ|ಾ|ನ|ವ|ರ:್|
j:a|n|y|u|	ಜ|ನ:್|ಯ|ು|
p|o|s|t|	ಪ|ೋ|ಸ:್|ಟ:್|
j:a|p|e|n|d|r:a|	ಜ|ಪ|ೇ|ಂ|ದ:್|ರ|
j:a|r|i|y|a|h|	ಜ|ರ|ಿ|ಯ|ಾ|ಹ:್|
j:a|s|b|e:e|r|	ಜ|ಸ:್|ಬ|ೀ|ರ:್|
j|a|s|e|	ಜ|ೇ|ಸ|್|
j|a:s|h|n|	ಜ|ಶ|್|ನ:್|
j:a|s|l|e:e|n|	ಜ|ಸ:್|ಲ|ೀ|ನ:್|
j|a|s|m|i|n|a|	ಜ|ಾ|ಸ:್|ಮ|ಿ|ನ|ಾ|
j:a|s|m|i|n|d:e|r|	ಜ|ಸ:್|ಮ|ಿ|ಂ|ದ|ರ:್|
j|a|s:o|n|	ಜ|ೇ|ಸ|ನ:್|
j:a|s|r:a|h|	ಜ|ಸ:್|ರ|ಾ|
j:a|s|s:a|l|	ಜ|ಸ:್|ಸ|ಲ:್|
j:a|s|s|i|	ಜ|ಸ:್|ಸ|ಿ|
j:a|s|s|o|w|a|l|	ಜ|ಸ:್|ಸ|ೋ|ವ|ಾ|ಲ:್|
j:a|s|s|w|a|l|	ಜ|ಸ:್|ಸ|ವ|ಾ|ಲ:್|
j:a|s|w:a|n|t|	ಜ|ಸ|ವ|ಂ|ತ:್|
j:a|t|i|	ಜ|ತ|ಿ|
j:a|u|l|e:e|	ಜ|ೌ|ಲ|ೀ|
j:a|u|r|e|g|u|i|b|e|r:r|y|	ಜ|ೌ|ರ|ೇ|ಗ:್|ಯ|ು|ಬ|ೆ|ರ|ಿ|
j|a|v|a|	ಜ|ಾ|ವ|ಾ|
j|a|v|e|d|	ಜ|ಾ|ವ|ೇ|ದ:್|
o|m:a|r|	ಒ|ಮ|ರ:್|
j|a|v|e|l|i|n|	ಜ|ಾ|ವ|ೆ|ಲ|ಿ|ನ:್|
j:a|w|a|b|	ಜ|ವ|ಾ|ಬ:್|
j|a|w:a|d|	ಜ|ಾ|ವ|ದ:್|
j:a|w|a|n|	ಜ|ವ|ಾ|ನ:್|
j:a|w|a|n|i|	ಜ|ವ|ಾ|ನ|ಿ|
d|i|w|a|n|i|	ದ|ಿ|ವ|ಾ|ನ|ಿ|
l:e|h|r|e:n|	ಲ|ಹ|ರ|ೇ|
s|o|l:a|h|	ಸ|ೋ|ಲ|ಹ:್|
j:a|w|a|r|a|	ಜ|ವ|ಾ|ರ|ಾ|
j|a|w|d|a|n|	ಜ|ಾ|ವ|ದ|ಾ|ನ:್|
j:a|w|h:a|r|	ಜ|ವ|ಹ|ರ:್|
l|e|n|o|	ಲ|ೀ|ನ|ೋ|
j:a|y:a|d|e|v|	ಜ|ಯ|ದ|ೇ|ವ|
j:a|y|a|n:a|n|d:a|	ಜ|ಯ|ಾ|ನ|ಂ|ದ|
w:a|r|n:a|w|e:e|r:a|	ವ|ರ:್|ಣ|ವ|ೀ|ರ|
j:a|y:a|n|t|	ಜ|ಯ|ಂ|ತ:್|
j:a|y:a|n:t|h:a|	ಜ|ಯ|ಂ|ತ|
s|i|l|v:a|	ಸ|ಿ|ಲ:್|ವ|
j:a|y:a|n|t|i|	ಜ|ಯ|ಂ|ತ|ಿ|
j:a|y:a|n|t|i|k:a|	ಜ|ಯ|ಂ|ತ|ಿ|ಕ|
j:a|y:a|s:h|e|k:h|a|r|	ಜ|ಯ|ಶ|ೇ|ಖ|ರ|್|
j:a|y:a|s:h|r|e:e|	ಜ|ಯ|ಶ|್:ರ|ೀ|
j:a|y:a|s|i|n|h|	ಜ|ಯ|ಸ|ಿ|ಂ|ಹ|
j:a|y|e|n|d|r:a|	ಜ|ಯ|ೇ|ಂ|ದ:್|ರ|
j:a|y|e|s|h|v:a|r|	ಜ|ಯ|ೇ|ಶ|್|ವ|ರ:್|
j:a|y|i|t|a|	ಜ|ಯ|ಿ|ತ|ಾ|
j:a|y|s|u|k|h|	ಜ|ಯ|ಸ|ು|ಖ|್|
j:a|z|b|a:a|t|	ಜ|ಜ:್|‌:ಬ|ಾ|ತ:್|
j:a|z|l|y|n|n|	ಜ|ಜ:್|ಲ|ಿ|ನ|್|
j|e:a|n|	ಜ|ೀ|ನ:್|
b|a|r|t|	ಬ|ಾ|ರ:್|ಟ:್|
j|e:a|n:e|t|t:e|	ಜ|ೀ|ನ|ತ|್|
j|e|a|n|n|e|	ಜ|ಿ|ಯ|ನ:್|ನ|ಾ|
j|e|c|y|	ಜ|ೇ|ಸ|ಿ|
j|e:e|n|a|	ಜ|ೀ|ನ|ಾ|
y:a|h:a|n|	ಯ|ಹ|ಾ|
j|e:e|n|e|	ಜ|ೀ|ನ|ೆ|
j|e:e|v|a|	ಜ|ೀ|ವ|ಾ|
j|e:e|v:a|l|	ಜ|ೀ|ವ|ಲ:್|
j|e:e|v:a|n|	ಜ|ೀ|ವ|ನ:್|
d:h|a|r|a|	ಧ|ಾ|ರ|ಾ|
s|a|t:h|i|	ಸ|ಾ|ಥ|ಿ|
y|a|t|r|a|	ಯ|ಾ|ತ:್|ರ|ಾ|
j|e:e|v:a|n|k|a:l|a|	ಜ|ೀ|ವ|ನ:್|‌:ಕ|ಲ|ಾ|
j|e:f|f|	ಜ|ೆ|ಫ:್|
b|r|i|d|g:e|s|	ಬ:್|ರ|ಿ|ಡ:್|ಜ|ಸ:್|
m:o|s|s|	ಮ|ಾ|ಸ:್|
j|e|f:f|e:r|y|	ಜ|ೆ|ಫ|ರ|ಿ|
j|e|h:a|n|	ಜ|ೇ|ಹ|ನ:್|
j|e|n|	ಜ|ೆ|ನ:್|
j|e|n|a|y|a|	ಜ|ೆ|ನ|ೆ|ಯ|ಾ|
j|e|n|i|b|e|l|l|e|	ಜ|ೆ|ನ|ೀ|ಬ|ೆ|ಲ:್|ಲ|ಾ|
j|e:n|n|	ಜ|ೆ|ನ:್|
j|e|n|n|a|	ಜ|ೆ|ನ:್|ನ|ಾ|
j|e|n|n|e|l|l|e|	ಜ|ೆ|ನ:್|ನ|ೆ|ಲ:್|ಲ|ಿ|
j|e|n:n|i|c|a|	ಜ|ೆ|ನ|ೀ|ಕ|ಾ|
j|e|n|n|i:e|	ಜ|ೆ|ನ:್|ನ|ೀ|
j|e|n:n|i|f:e|r|	ಜ|ೆ|ನ|ೀ|ಫ|ರ:್|
j|e:r|m|a:i|n|e|	ಜ|ರ|್:ಮ|ೈ|ನ|್|
j|e|r|o|l|d|	ಜ|ೆ|ರ|ೋ|ಲ:್|ಡ:್|
j|e|r|o|m|	ಜ|ೆ|ರ|ೊ|ಮ:್|
j|e|r:r|y|	ಜ|ೆ|ರ|ಿ|
f|a|l|w|e|l|l|	ಫ|ಾ|ಲ:್|ವ|ೆ|ಲ|್|
j|e|t|	ಜ|ೆ|ಟ:್|
j|e|t:h|a|n|i|	ಜ|ೆ|ಠ|ಾ|ನ|ಿ|
j|e|w|e|l|	ಜ|್|ವ|ಾ|ಲ:್|
j|e|w|i|s|h|	ಜ:್|ಯ:ು|ಯ|ಿ|ಶ|್|
j:h|a:b|u|a|	ಜ|ಬ|ು|ವ:ಾ|
j:h|a:m|e|l|a|	ಝ|ಮ|ೇ|ಲ|ಾ|
j:h|a:n|a|k|	ಝ|ನ|ಕ|್|
p|a|y:a|l|	ಪ|ಾ|ಯ|ಲ:್|
b:a|j|e|	ಬ|ಜ|ೆ|
j:h|a|n|s|i|	ಝ|ಾ:ಂ|ನ:್|ಸ|ಿ|
j:h|a|n|s|i|w|a|l|e|	ಝ|ಾ|ನ:್|ಸ|ಿ|ವ|ಾ|ಲ|ೆ|
j:h|a|r|k:h|a:n|d|	ಜ|ಾ|ರ:್|ಖ|ಂ|ಡ:್|
j:h|a:r|n|a|	ಝ|ರ|ನ|ಾ|
j:h|e:e|l|	ಝ|ೀ|ಲ:್|
j:h|i|n|u|k|	ಝ|ಿ|ನ|ು|ಕ:್|
j:h|i|t:a|r|u|r:a|a|m|	ಝ|ಿ|ತ|ರ|ು|ರ|ಾ|ಮ:್|
u|t:h|a|	ಉ|ಠ|ಾ|
a|k|a|a:s|h|	ಆ|ಕ|ಾ|ಶ|್|
j:h|o:o|m:e|r|	ಝ|ೂ|ಮ|ರ:್|
j:h|o:o|t|a|	ಝ|ೂ|ಠ|ಾ|
j:h|u|m|r|o:o|	ಝ|ು|ಮ|ರ|ು|
j|i|a|l|i|	ಜ|ಿ|ಯ:ಾ|ಲ|ಿ|
j|i|h|a|n|	ಜ|ಿ|ಹ|ಾ|ನ:್|
j|i|l|e|s|i|n|h|	ಜ|ಿ|ಲ|ೆ|ಸ|ಿ|ಂ|ಹ:್|
j|i|l|l|	ಜ|ಿ|ಲ|್|
j|i|m|	ಜ|ಿ|ಮ:್|
l|e|h|r:e|r|	ಲ|ೆ|ಹ|ರ|ರ:್|
s|t|e|w|a|r|t|	ಸ:್|ಟ|ೀ|ವ|ಾ|ರ:್|ಟ:್|
t|r:o|u:g|h:t|o|n|	ಟ:್|ರ|ಾ|ಟ|ನ|್|
j|i|m|m|y|	ಜ|ಿ|ಮ:್|ಮ|ಿ|
m:a|h|e|r|	ಮ|ಹ|ೆ|ರ:್|
j|i|m|u|t|a|	ಜ|ಿ|ಮ|ು|ತ|ಾ|
j|i|n|i|t|e|s:h|n:a|r|	ಜ|ಿ|ನ|ಿ|ತ|ೇ|ಶ|ನ|ರ:್|
j|i|n|t|a|	ಜ|ಿ|ಂ|ಟ|ಾ|
j|i|r:a|i|r|	ಜ|ಿ|ರ|ೈ|ರ:್|
j|i|s|	ಜ|ಿ|ಸ:್|
b|e|h|t|i|	ಬ|ೆ|ಹ|ತ|ಿ|
j|i|s:h|n:u|	ಜ|ಿ|ಶ|ು|
j|i|t|t:e|r|b:u|g|	ಜ|ಿ|ಟ:್|ಟ|ರ:್|ಬ|ಗ:್|
j|i|v:a|n|	ಜ|ಿ|ವ|ನ:್|
j|n|y|a|n|d|e:e|p|	ಜ|್|ಞ|ಾ|ನ|ದ|ೀ|ಪ:್|
j|o|	ಜ|ೋ|
a|n|g|e|l|	ಏ|ಂ|ಜ|ೆ|ಲ:್|
h|u|w|a|	ಹ|ು|ವ|ಾ|
s|o|	ಸ|ೋ|
j|o|a:n|n|	ಜ|ೋ|ಆ|ನ:್|
j:o|c|k|	ಜ|ಾ|ಕ:್|
j|o|d|h|p|u|r|	ಜ|ೋ|ಧ|್|ಪ|ು|ರ|
j|o|d|y|	ಜ|ೋ|ಡ|ೀ|
g|a|r|n:e|r|	ಗ|ಾ|ರ:್|ನ|ರ:್|
j|o|g|e:e|s|h|v:a|r|	ಜ|ೋ|ಗ|ೀ|ಶ|್|ವ|ರ:್|
j|o|g|i|	ಜ|ೋ|ಗ|ಿ|
j|o|h:a|l|	ಜ|ೌ|ಹ|ಲ:್|
j|o|h|a|n|	ಜ|ೋ|ಹ|ಾ|ನ:್|
s|t|r:a|u|s|	ಸ:್|ಟ:್|ರ|ೌ|ಸ:್|
b|a|t:c|h|	ಬ:್|ಯ:ಾ|ಚ|್|
j|o|h:a|r|	ಜ|ೋ|ಹ|ರ:್|
k|a|s:h|m|i|r|	ಕ|ಾ|ಶ|್:ಮ|ೀ|ರ:್|
m|e|h|m|o:o|d|	ಮ|ೆ|ಹ|ಮ|ೂ|ದ:್|
j|o|h:a|r|i|	ಜ|ೌ|ಹ|ರ|ಿ|
a:u|b|u|c:h|o|n|	ಆ|ಬ|ು|ಚ|ೋ|ನ:್|
b|u|c:h|a|n:a|n|	ಬ|ು|ಚ|ಾ|ನ|ನ:್|
d|e|n|v:e|r|	ಡ|ೆ|ನ:್|ವ|ರ:್|
f|.|	ಎ:ಫ|್:.|
g|r|i|s:h|a|m|	ಗ:್|ರ|ಿ|ಶ|ಮ|್|
j|a|m|e|s:o|n|	ಜ|ೇ|ಮ|್|ಸ|ನ:್|
j|a|n|i|	ಜ|ಾ|ನ|ಿ|
j:a|n|a|r|d:a|n|	ಜ|ನ|ಾ|ರ:್|ದ|ನ:್|
k|e:a|t|s|	ಕ|ೀ|ಟ:್|ಸ:್|
k|e|n:n|e|t|h|	ಕ|ೆ|ನ|ೆ|ತ|್|
g|a|l|b|r:a|i|t|h|	ಗ|ಾ|ಲ:್|ಬ:್|ರ|ೆ|ಥ|್|
l|a|n|e|n|	ಲ|ೇ|ನ|ೆ|ನ:್|
m|a|g|u:i|r|e|	ಮ|ಾ|ಗ|ು|ರ|್|
p|a|r|k:e|r|	ಪ|ಾ|ರ:್|ಕ|ರ:್|
p|o|p|a|l|	ಪ|ೋ|ಪ|ಾ|ಲ:್|
t|r:a|i|c|o|s|	ಟ:್|ರ|ೈ|ಕ|ೋ|ಸ:್|
j:o|h|n:n|y|	ಜ|ಾ|ನ|ಿ|
m|i:t|c:h|e|l|l|	ಮ|ಿ|ಚ|ೆ|ಲ|್|
j:o|h|n|y|	ಜ|ಾ|ನ|ಿ|
i|	ಐ|
y:o|u|	ಯ|ು|
j|o|l|a|	ಜ|ೋ|ಲ|ಾ|
j|o|l|i:e|	ಜ|ೋ|ಲ|ೀ|
j|o|l:l|y|	ಜ|ೌ|ಲ|ಿ|
j|o|n:a|t|h:a|n|	ಜ|ೋ|ನ|ಾ|ಥ|ನ:್|
a|g|n|e|w|	ಆ|ಗ:್|ನ:್|ಯ|ೂ|
m|i|l|l|m|o:w|	ಮ|ಿ|ಲ|್|ಮ|ೋ|
j|o|n|t|y|	ಜ|ಾ|ಂ|ಟ|ಿ|
j|o|r|j:a|n|n|a|	ಜ|ೋ|ರ:್|ಜ|ನ:್|ನ|ಾ|
j|o|r|n|	ಜ|ೋ|ರ:್|ನ:್|
j|o|r|u|	ಜ|ೋ|ರ|ೂ|
j|o|s|e|ph|	ಜ|ೋ|ಸ|ೆ|ಫ:್|
a|n|g:a|r:a|	ಅ|ಂ|ಗ|ರ|
s|t|a|l|i|n|	ಸ|್|ಯ:ಾ|ಲ|ಿ|ನ:್|
j|o|s|e|ph:a|t|	ಜ|ೊ|ಸ|ೆ|ಫ|ಟ:್|
a|b:a|b|u|	ಅ|ಬ|ಬ|ು|
j|o|s:h|i|	ಜ|ೋ|ಶ|ಿ|
j|o|s:h|i|l|a|	ಜ|ೋ|ಶ|ಿ|ಲ|ಾ|
j|o:u|h|i|k:k|o|	ಜ|ೌ|ಹ|ಿ|ಕ|ೊ|
j|o:u|l|	ಜ|ೌ|ಲ:್|
j|o:u|r|n|e:y|	ಜ|ರ|್|ನ|ಿ|
j|o|w:a|i|	ಜ|ೋ|ವ|ೈ|
j|u|a|a|r|i|	ಜ|ು|ವ|ಾ|ರ|ಿ|
j|u|b:a|i|r|	ಜ|ು|ಬ|ೇ|ರ:್|
j|u|d|a|a|i|	ಜ|ು|ದ|ಾ|ಯ|ಿ|
j|u|d:a|i|s|m|	ಜ|ು|ಡ|ೈ|ಸ:್|ಮ:್|
j|u|d|s:o|n|	ಜ|ು|ಡ:್|ಸ|ನ:್|
j|u|h|i|	ಜ|ು|ಹ|ಿ|
j|u|i|	ಜ|ು|ಯ:್|
j|u|l|i|a|	ಜ|ೂ|ಲ|ಿ|ಯ:ಾ|
c:h|i|l|d|	ಚ|ೈ|ಲ:್|ಡ:್|
j|u|l|i|e|n|	ಜ|ು|ಲ|ಿ|ಯ|ನ:್|
w|i:e|n:e|r|	ವ|ೀ|ನ|ರ:್|
j|u|l|i|e|t:t|e|	ಜ|ೂ|ಲ|ಿ|ಯ:ೆ|ಟ|್|
b|i|n|o|c:h|e|	ಬ|ಿ|ನ|ೋ|ಕ|್|
j|u|l|i|u|s|	ಜ|ು|ಲ|ಿ|ಯ|ಸ:್|
j|u|l|y|	ಜ|ು|ಲ|ೈ|
j|u|m:a|'|	ಜ|ು|ಮ|ಾ|
j:u|m|p|	ಜ|ಂ|ಪ:್|
r|o|p|e|	ರ|ೋ|ಪ|್|
j|u|n|a|g:a|r|h|	ಜ|ು|ನ|ಾ|ಗ|ರ|್|
j|u|n|a|y|d|	ಜ|ು|ನ|ಾ|ಯ|ದ:್|
b:a|g:h|d|a|d|i|	ಬ|ಗ|ದ|ಾ|ದ|ಿ|
s:h|i|r|a|z|i|	ಶ|ಿ|ರ|ಾ|ಝ|ಿ|
j|u|n|d|u|b|	ಜ|ು|ನ:್|‌:ದ|ು|ಬ:್|
j|u|n|e|	ಜ|ೂ|ನ|್|
j|u|n|e|j|a|	ಜ|ು|ನ|ೇ|ಜ|ಾ|
j:u|n|g|l|e|	ಜ|ಂ|ಗ|ಲ|್|
b|o|y|	ಬ|ಾ|ಯ:್|
j|u|n|i|o|r|	ಜ|ೂ|ನ|ಿ|ಯ|ರ:್|
j|u|n|o|	ಜ|ು|ನ|ೊ|
j|u|n|y|o|	ಜ|ು|ನ:್|ಯ|ು|
j|u|r|a|	ಜ|ು|ರ|ಾ|
j|u|r|m|a|n|a|	ಜ|ು|ರ:್|ಮ|ಾ|ನ|ಾ|
j:u|s|t|i|n|e|	ಜ|ಸ:್|ಟ|ೀ|ನ|್|
j|u|t:h|a:m|a|h|	ಜ|ು|ಥ|ಮ|ಾ|ಯ:ಿ|
j|u|v|e|k:a|r|	ಜ|ು|ವ|ೇ|ಕ|ರ:್|
j|w|a|l|a|	ಜ:್|ವ|ಾ|ಲ|ಾ|
j|w|a|r|	ಜ:್|ವ|ಾ|ರ:್|
b:h|a|t|a|	ಭ|ಾ|ಟ|ಾ|
j|y|o|t|	ಜ:್|ಯ|ೋ|ತ:್|
j:a|l|e|	ಜ|ಲ|ೆ|
y|a|d:a|v|	ಯ|ಾ|ದ|ವ:್|
j|y|o|t|i|b|a|	ಜ:್|ಯ|ೋ|ತ|ಿ|ಬ|ಾ|
ph|u|l|e|	ಫ|ು|ಲ|ೆ|
j|y|o|t|i|r|m:o|y|e:e|	ಜ:್|ಯ|ೋ|ತ|ಿ|ರ:್|ಮ|ಯ|ಿ|
j|y|o|t|i|s|h:p|u|r|	ಜ:್|ಯ|ೋ|ತ|ಿ|ಷ:್|ಪ|ು|ರ|
j|y|o|t|s|n|a|	ಜ:್|ಯ|ೋ|ತ:್|ಸ|ನ|ಾ|
k|	ಕ:ೆ|
s|e|r|a|	ಸ|ೆ|ರ|ಾ|
k:a|a|l:a|h:a|r|	ಕ|ಾ|ಲ|ಹ|ರ|
k:a|a|l:a|n|j:a|y|	ಕ|ಾ|ಲ|ಂ|ಜ|ಯ|
k|a|a:l|e:e|c:h|a:r|a|n|	ಕ|ಾ|ಳ|ೀ|ಚ|ರ|ಣ|್|
k:a|a|l|i|a|	ಕ|ಾ|ಲ|ಿ|ಯ:ಾ|
k:a|a|l|k|u|n|j:a|	ಕ|ಾ|ಲ|ಕ|ು|ಂ|ಜ|
k:a|a|r:a|n|	ಕ|ಾ|ರ|ಣ:್|
k|a|a:s|h|	ಕ|ಾ|ಶ|್|
k:a|b|e:e|l|a|	ಕ|ಬ|ೀ|ಲ|ಾ|
k:a|b:h|i|	ಕ|ಭ|ೀ|
k:a|b|i|r:a|h|	ಕ|ಬ|ೀ|ರ|ಾ|
k|a|b|u|l|	ಕ|ಾ|ಬ|ು|ಲ:್|
k|a|b|u|l|i|	ಕ|ಾ|ಬ|ು|ಲ|ಿ|
k|a|b|u|l|i|w|a|l|a|	ಕ|ಾ|ಬ|ು|ಲ|ಿ|ವ|ಾ|ಲ|ಾ|
k|a:c|h|c:h|e|	ಕ|ಚ|್|ಚ|ೆ|
h|e:e|r|e|	ಹ|ೀ|ರ|ಾ|
k|a|c|y|	ಕ|ೇ|ಸ|ಿ|
k:a|d:a|m|b|i|n|i|	ಕ|ದ|ಂ|ಬ|ಿ|ನ|ಿ|
k|a|d|u|t:h|u|r|u|t:h|i|	ಕ|ಾ|ಡ|ು|ತ|ು|ರ|ು|ತ|ಿ|
k:a|e|l|	ಕ|ೇ|ಲ:್|
s:a|b|	ಸ|ಬ:್|
ph|o:o|l|v:a|t|i|	ಪ|ೂ|ಲ:್|ವ|ತ|ಿ|
k:a|h|e:e|s:h|a|	ಕ|ಹ|ೀ|ಶ|ಾ|
k:a|h|f|	ಕ|ಾ|ಫ:್|
h|o|t|i|	ಹ|ೋ|ಟ|ಿ|
k:a|h|n|u|w|a|l|	ಕ|ಹ|ನ|ೂ|ವ|ಾ|ಲ:ಾ|
k:a|i|l|	ಕ|ೈ|ಲ:್|
k:a|i|l|a|s:h|c|h:a|n|d|r:a|	ಕ|ೈ|ಲ|ಾ|ಶ|್:‌|ಚ|ಂ|ದ:್|ರ|
k:a|i|l|a|s:h|n|a|t:h|	ಕ|ೈ|ಲ|ಾ|ಶ|ನ|ಾ|ಥ|
k:a|i|l|e:y|	ಕ|ೈ|ಲ|ೆ|
k:a|i|n|j|i|	ಕ|ೈ|ಂ|ಜ|ಿ|
k:a|i|s:e|r|	ಕ|ೈ|ಸ|ರ:್|
i|i|i|.|	I|i|i|.|
w|i|l|h|e:l|m|	ವ|ಿ|ಲ:್|ಹ|ೆ|ಮ:್|
i|i|.|	I|i|.|
k:a|i|s:h|o|r|i|	ಕ|ೈ|ಶ|ೋ|ರ|ಿ|
k:a|i|t:a|b:h|a:j|i|t|	ಕ|ೈ|ಟ|ಭ|ಜ|ಿ|ತ:್|
k:a|i|t:h|a|l|	ಕ|ೈ|ಥ|ಾ|ಲ:್|
k:a|i|y|o|	ಕ|ೈ|ಯ|ೊ|
k:a|j|a|r|i|a|	ಕ|ಜ|ಾ|ರ|ಿ|ಯ:ಾ|
c|e|r|a|m|i|c|	ಸ|ೆ|ರ|ಾ|ಮ:ಿ|ಕ:್|ಸ:್|
k:a|j|j|a|l|i|	ಕ|ಜ:್|ಜ|ಾ|ಲ|ಿ|
k:a|k|a|d|u|	ಕ|ಕ|ಾ|ಡ|ು|
k|a|k|i|r|d|e|	ಕ|ಾ|ಕ|ಿ|ರ:್|ಡ|ೆ|
k|a|l|a|	ಕ|ಾ|ಲ|ಾ|
d:h|a:n|d:h|a|	ಧ|ಂ|ಧ|ಾ|
g|o|r|e:y|	ಗ|ೋ|ರ|ೆ|
g:h|o|d|a|	ಘ|ೋ|ಡ|ಾ|
k:a|l:a|a|	ಕ|ಲ|ಾ|
k:a|l:a|n|k|i|	ಕ|ಲ|ಂ|ಕ|ಿ|
k|a|l|a|r|e|	ಕ|ೇ|ಲ|ೇ|ರ|್|
k:a|l|a|v:a|t|i|	ಕ|ಲ|ಾ|ವ|ತ|ಿ|
k|a|l|c:h|a:k|r|a|	ಕ|ಾ|ಲ|ಚ|ಕ|್:ರ|್|
k:a|l|e:e|m|	ಕ|ಲ|ೀ|ಂ|
k:a|l|e:e|m:a|h|	ಕ|ಲ|ೀ|ಮ|ಾ|
k|a|l|i|c:h|a:r|a|n|	ಕ|ಾ|ಲ|ೀ|ಚ|ರ|ಣ|್|
k:a|l|i|m|	ಕ|ಲ|ೀ|ಂ|
k:a|l|i|m|b|a|	ಕ|ಲ|ಿ|ಂ|ಬ|ಾ|
k:a|l|i|n|j:a|r|	ಕ|ಲ|ಿ|ಂ|ಜ|ರ:್|
k:a|l|i|r|a|i|	ಕ|ಲ|ಿ|ರ|ಾ|ಜ:್|
k:a|l|i|s|t|a|	ಕ|ಲ|ಿ|ಸ:್|ತ|ಾ|
k|a|l|k|a|	ಕ|ಾ|ಲ:್|ಕ|ಾ|
k|a|l:l|i|m|a|	ಕ|ಾ|ಲ|ಿ|ಮ|ಾ|
k:a|l|p|e|s|h|	ಕ|ಲ:್|ಪ|ೇ|ಶ|್|
k:a|l|p|i|t|a|	ಕ|ಲ:್|ಪ|ಿ|ತ|ಾ|
k:a|l|t:h|a|m|	ಕ|ಲ:್|ತ|ಾ|ಮ:್|
k:a|l|y|a|n|i|	ಕ|ಲ:್|ಯ|ಾ|ಣ|ಿ|
s|t|e|e|l|s|	ಸ:್|ಟ:್|ರ|ೀ|ಲ:್|ಸ:್|
k|a|m:a|j|i|t|	ಕ|ಾ|ಮ|ಜ|ಿ|ತ:್|
k|a|m|a|k:h|y|a|	ಕ|ಾ|ಮ|ಾ|ಖ|್|ಯ|
k|a|m|a|k|s:h|i|	ಕ|ಾ|ಮ|ಾ|ಕ:್|ಷ|ಿ|
a|m|m:a|n|	ಅ|ಮ:್|ಮ|ನ:್|
k:a|m:a|l|a|k|s:h|i|	ಕ|ಮ|ಲ|ಾ|ಕ:್|ಷ|ಿ|
k:a|m:a|l|e|s|h|	ಕ|ಮ|ಲ|ೇ|ಶ|್|
k:a|m:a|l|i|n|i|	ಕ|ಮ|ಲ|ಿ|ನ|ಿ|
k|a|m:a|n|a|	ಕ|ಾ|ಮ|ನ|ಾ|
k:a|m|e|n|g|	ಕ|ಮ|ೇ|ಂ|ಗ:್|
k|a|m|e|s|h|	ಕ|ಾ|ಮ|ೇ|ಶ|್|
k|a|m|e|s|h|w:a|r|	ಕ|ಾ|ಮ|ೇ|ಶ|್|ವ|ರ:್|
