a|	এ|
l|i|g:g|e:t:t|	ল|ি|গ|ে:ট|
l|i:g:h|t|h|o|u|s:e|	ল|া:ই|ট|হ|া|উ|স|
l|i|k:h:a|n|s:a|r|	ল|ি|খ:া|ন|স|র|
l|i|l|a|	ল|ী|ল|া|
l|i|l|a|b:a|t|i|	ল|ী|ল|া|ব|ত|ি|
l|i|l|a|r|a|n|i|	ল|ী|ল|া|র|া|ণ|ী|
l|i|l:l|a|	ল|ি|ল|া|
l|i|l:l:e|	ল|ি|ল:ে|
l|i|m|a|	ল|ি|ম|া|
l|i|m|a|y:e|	ল|ি|ম|া|য়|
l|i|n|a|	ল|ী|ন|া|
l|i|n|a|t|e|	ল|ি|ন|া|ত|ে|
l|i|n|c:o:l|n|	ল|ি|ঙ:্|ক|ন|
l|i|n|c|o|l|n|	ল|ি|ঙ:্|ক|ো|ল|্:ক|
l|i|n|d|u|	ল|ি|ন:্|ড|ু|
l|i|n:e|s|	ল|া:ই|ন|স|
l|i|n|g:a|n:a|m:a|k|k|i|	ল|ি|ঙ:্|গ|ন|ম|ক:্|ক|ি|
l|i|n|g:a|r|a|j:a|	ল|ি|ঙ:্|গ|র|া|জ|
l|i|n|g|e|s:h:w|a|r:a|	ল|ি|ঙ:্|গ|ে|শ|্:ব|র|
l|i|o:n|	ল|ি:য়|ন|
l|i|o|n|s|	ল|ি|ও|ন|স|
l|i|p|a|	ল|ি|প|া|
l|i|p|i|	ল|ি|প|ি|
l|i|p|i|k|a|	ল|ি|প|ি|ক|া|
l|i|p|t:o:n|	ল|ি|প|ট:ন|
l|i|s|a|	ল|ি|জ|া|
l|i|s|a|	ল|ি|স|া|
l|i|s|a|d|	ল|ি|স|া|দ|
l|i|s|b:o|n|	ল|ি|স|ব|ন|
l|i|t|a|n|	ল|ি|ট|া|ন|
l|i|t|e|r|a|r|y|	ল|ি|ট|ে|র|া|র|ি|
l|i|t|e|r|a|t|u:r:e|	ল|ি|ট|ে|র|া|চ|া:র|
l|i|t:h|i|u|m|	ল|ি|থ|ি|য়:া|ম|
l|i|t|t:l:e|	ল|ি|ট|ি:ল|
l|i|t|t:l:e|h|a|m|p|t:o:n|	ল|ি|ট|ি:ল|হ:্|য:া|ম:্|প|ট:ন|
l|i|t:t|o|r|i|o|	ল|ি|ট|ো|র|ি|ও|
l|i|v:e|r|p:o:o|l|	ল|ি|ভ|া:র|প:ু|ল|
l|i|v|e:t:t|	ল|ি|ভ|ে:ট|
l|i|v|i:n:g|	ল|ি|ভ|ি:ং|
l|i|v|i:n:g|s|t|o|n:e|	ল|ি|ভ|ি:ং|স:্|ট|ো|ন|
l|i:w:o|n|d|e|	ল|ি:ও|ন:্|ড|ে|
l:l|o:y:d|	ল|ো:ড|
l|o|a|	ল|ো|য়:া|
l|o|b|a|c:h:e|v|s|k|y|	ল|ো|ব|া|চ:ে|ভ|স:্|ক|া:ই|
l|o|c:a|t:i:o|n|	ল|ো|ক|ে:শ|া:ন|
l|o|c:h:a|n|	ল|ো|চ|ন|
l|o:c:k|	ল|ক|
l|o:c:k|e|r|i|d:g:e|	ল|ক|া:র|র|ি|জ|
l|o:c:k|h|e:e|d|	ল|ক|হ|ি|ড|
l|o|e|w:s|	ল|ো|য়:ে|স|
l|o|g|i|c|	ল|ো|জ|ি|ক|
l|o|g:i:e|	ল|ো|গ:ি|
l:o|g|i|t|e:c:h|	ল|গ|ি|ট|ে:ক|
l|o|h|a|r|g:a|n|j|	ল|ো|হ|া|র|গ|ঞ:্|জ|
l|o|h|g|a|d|	ল|ো|হ|গ|া|ড|
l|o|h|i|t|	ল|ো|হ|ি|ত|
l|o|h|o|u|	ল|ো|হ|ো|উ|
l|o|j|k|i|	ল|ো|জ|ক|ি|
l|o|k|e:s:h|	ল|ো|ক|ে:শ|
l|o|k|n|a|t:h|	ল|ো|ক|ন|া|থ|
l|o|k|r|e|	ল|ো|ক|র|ে|
l|o|k|s:a|t|t|a|	ল|ো|ক|স|ত:্|ত|া|
l|o|k:u:a|r|a|c|h|c:h:i|	ল|ো|ক:া|র|া|চ|্|চ:ি|
l|o|k|u|h|e|t|t|i|g:e|	ল|ো|ক|ু|হ|ে|ট:্|ট|ি|গ|
l|o|l|a|	ল|ো|ল|া|
l|o|l|e|	ল|ো|ল|ে|
l:o|n|c:i:n|	ল|ন|স:ন|
l|o|n|d:h:e|	ল|ো|ন:্|ধ:ে|
l:o|n|d:o|n|	ল|ন:্|ড|ন|
l|o:n:g|	ল|ং|
l|o|n|k|a|r|	ল|ো|ন|ক|া|র|
l:o:o|t|s|	ল:ু|ট|স|
l|o|p|a|m|u|d|r|a|	ল|ো|প|া|ম|ু|দ:্|র|া|
l:o|r|d|	ল|র:্|ড|
l|o|r|e|	ল|ো|র|ে|
l:o:r|r:a|i:n:e|	ল|র|ে:ন|
l|o|r|é|a|l|	ল|ো|র|ি:য়|া|ল|
l|o|t:a|n|	ল|ো|ট|ন|
l|o|t:a|n|b|a|l|a|	ল|ো|ট|ন|ব|া|ল|া|
l|o|t|n|i|	ল|ো|ট|ন|ী|
l|o|u|d|o|n|	ল|ো|উ|ড|ো|ন|
l|o|u|h|a|r|a|	ল|ো|উ|হ|া|র|া|
l:o:u|i|s|	ল:ু|ই|স|
l:o:u|i|s|i|a|n:a|	ল:ু|ই|স|ি:ন|ি:য়|া|
l|o|u|n|g|a|n|i|	ল|ো|উ|ঙ:্|গ|া|ন|ি|
l|o:v:e|	ল|া:ভ|
l|o:v:e|r|i|d:g:e|	ল|া:ভ|র|ি|জ|
l|o|v|r|i|j|e|n|a|c|	ল|ো|ভ|র|ি|জ|ে|ন|ে|ক|
l|o|w|e|r|	ল|ো|ও|য়:া|র|
l|o|w|e|s|	ল|ো|য়|ে|স|
l:o:w|t:h:e|r|	ল:ো|থ:া|র|
l:o|y|d|c:h:i|l|e|s|	ল|য়:ে|ড|চ:ি|ল|ি|স|
l|o|y|o|l:a|	ল|ো|য়|ে|ল|
l|u|a|n|d|a|	ল|ু|য়:া|ন:্|দ|া|
l|u|c|a|s|	ল|ু|ক|া|স|
l|u|c|i|a|n|	ল|ু|স:ি|য়|া|ন|
l|u|c|i|a|n|o|	ল|ু|স:ি|য়|া|ন|ো|
l|u|c|i|l|	ল|ু|স|ি|ল|
l|u:c:k|h|u|r|s|t|	ল|া:ক|হ|্|র:ু|স:্|ট|
l:u|c|k|n|o:w|	ল|ক:্|ষ|্:ণ|ৌ|
l|u|d:h:i|a|n|a|	ল|ু|ধ:ি|য়:া|ন|া|
l|u|d:h|i|a|n:w:i|	ল|ু|ধ|ি:া|য়:া|ন:ই|
l|u|f|t:h|a|n|s:a|	ল|ু|ফ|থ|া|ন:্|স|
l|u|i|t|p|o|l|d|	ল|ু|ই|ট|প|ো|ল|্:ড|
l|u|k|a|y:a|n|	ল|ু|ক|া|য়|ন|
l|u|k:h:i|	ল|ু|খ:ি|
l|u|k:h:u|	ল|ু|খ:ু|
l|u|k|o|i|l|	ল|ু|ক|ো|ই|ল|
l|u|m|p|s|	ল|া|ম:্|প|স|
l|u|m|s|h|n|o:n:g|	ল|ু|ম|স|হ|ন|ং|
l|u|n:g|l|e|i|	ল|ু|ং|ল|ে|ই|
l|u|p|i|n|	ল|ু|প|ি|ন|
l|u|s|i|	ল|ু|স|ি|
l|u|t|e|	ল|ু|ট|ে|
l|u|t|f|a|	ল|ু|ত:্|ফ|া|
l|u|t:h:e|r|	ল|ু|থ:া|র|
l|u|t:h|e|r|a|n|	ল|ু|থ|ে|র|া|ন|
l|u|t|o|n|	ল|ু|ট|ো|ন|
l:u:v|v|i|e|s|	ল:ু|ভ|ি|য়:ে|স|
l|u|z|e|r|n|e|	ল|ু|জ|া|র:্|ন|ে|
l|y|c|o|m|i:n:g|	ল|া:ই|ক|ো|ম|ি:ং|
l|y|n|c:h|	ল|ি|ঞ:্|চ|
l:y:n|n|	ল:ি|ন|
l:y:o|n|	ই:য়|ন|
l|y|s|a|	ল|া:য়|স|া|
l:y:t|t:o:n|	ল:ি|ট:ন|
m:a|a|d|	ম|া|্:দ|
m:a|a|k:h:a|l|k|a|r|	ম|া|খ:া|ল|ক|া|র|
m:a|a|l|	ম|া|ল|
m:a|a|t|e|	ম|া|ত|ে|
m|a|c|	ম:্|য:া|ক|
m|a|c|a|l|p|i|n:e|	ম:্|য:া|ক|া|ল|প|ি|ন|
m|a|c|a|r|t:h:u|r|	ম:্|য:া|ক|া|র:্|থ:া|র|
m|a|c|e|w|e|n|	ম:্|য:া|ক|ে|ত|ে|ন|
m|a|c:h:h|a|l|	ম|া|ছ|া|ল|
m|a|c:h:h|a|n|d|a|r|	ম|া|ছ|া|ন:্|দ|া|র|
m|a:c:h|i|n:e|	ম|ে:শ|ি|ন|
m:a|c:h:i|n:e:s|	ম|ে:শ|ি:ন|
m|a|c:k|a:y|	ম:্|য:া|ক|ে|
m|a|c:k|i|n|a|c|	ম|া|ক|ি|ন|া|ক|
m|a|c:k|i|n|a|c|	ম:্|য:া|ক|ি|ন:্|য:া|ক|
m|a|c|k|r|e|t:h|	ম:্|য:া|ক|ক:্|র|ে|থ|
m|a|c|l|e|o|d|	ম:্|য:া|ক|ল|ি|ও|ড|
m|a|c|l|e|o|d|	ম:্|য:া|ক|ল|ে|ও|ড|
m|a|c|q:u:a|r:i:e|	ম:্|য:া|ক|ু:ই|র:ি|
m:a:c|r|o|n|i|x|	ম:া|র:্|ক:ো|ন|ি:ক|্:স|
m:a|d:a|n|	ম|দ|ন|
m:a|d:a|n|c:h:a|n|d|r:a|	ম|দ|ন|চ|ন:্|দ:্|র|
m|a|d|a|n|i|	ম|া|দ|া|ন|ি|
m:a|d:a|n|k|u|m|a|r|	ম|দ|ন|ক|ু|ম|া|র|
m:a|d:a|n|l|a|l|	ম|দ|ন|ল|া|ল|
m:a|d:a|n|p|r:a|s|a|d|	ম|দ|ন|প:্|র|স|া|দ|
m|a|d|e|i|r|a|	ম|া|ড|ে|ই|র|া|
m:a|d|e|s:h:w|a|r|	ম|দ|ে|শ|্:ব|র|
m|a|d:h:a|b|	ম|া|ধ|ব|
m|a|d:h:a|b|c:h:a|n|d|r:a|	ম|া|ধ|ব|চ|ন:্|দ:্|র|
m|a|d:h|a:b:i|	ম|া|ধ|ব:ী|
m|a|d:h|a:b:i|b|a|l|a|	ম|া|ধ|ব:ী|ব|া|ল|া|
m|a|d:h:a|b|i|l:a|t|a|	ম|া|ধ|ব|ি|ল|ত|া|
m|a|d:h|a:b:i|r|a|n|i|	ম|া|ধ|ব:ী|র|া|ণ|ী|
m|a|d:h|a:b:i|r|a|n|i|	ম|া|ধ|ব:ী|র|া|ন|ী|
m|a|d:h:a|b|k|u|m|a|r|	ম|া|ধ|ব|ক|ু|ম|া|র|
m|a|d:h:a|i|	ম|া|ধ:া|ই|
m|a|d:h:e|p|u|r|a|	ম|া|ধ:ে|প|ু|র|া|
m|a|d:h:o|p|u|r|	ম|া|ধ:ো|প|ু|র|
m:a|d:h:u|	ম|ধ:ু|
m|a|d:h:u|	ম|া|ধ:ু|
m:a|d:h:u|b|a|l|a|	ম|ধ:ু|ব|া|ল|া|
m|a|d:h:u|b|i|	ম|া|ধ:ু|ব|ী|
m:a|d:h:u|d|e|b|i|	ম|ধ:ু|দ|ে|ব|ী|
m:a|d:h:u|d|e|v|i|	ম|ধ:ু|দ|ে|ব|ী|
m:a|d:h:u|l|i|n|a|	ম|ধ:ু|ল|ী|ন|া|
m:a|d:h:u|m|a|l|a|	ম|ধ:ু|ম|া|ল|া|
m:a|d:h:u|m:a|n|g:a|l|	ম|ধ:ু|ম|ঙ:্|গ|ল|
m:a|d:h:u|m|i|t|a|	ম|ধ:ু|ম|ী|ত|া|
m|a|d:h:u|r|a|	ম|া|ধ:ু|র|া|
m:a|d:h:u|r|a|n|i|	ম|ধ:ু|র|া|ন|ী|
m|a|d:h:u|r|i|	ম|া|ধ:ু|র|ী|
m|a|d:h:u|r|i|d|e|v|i|	ম|া|ধ:ু|র|ী|দ|ে|ব|ী|
m|a|d:h:u|r|i|r|a|n|i|	ম|া|ধ:ু|র|ী|র|া|ণ|ী|
m:a|d:h:u|s:h|r|i|	ম|ধ:ু|শ|্:র|ী|
m:a|d:h:u|s|r:e:e|	ম|ধ:ু|স:্|র:ী|
m:a|d:h:y|a|m|a|m|	ম|ধ:্|য:া|ম|া|ম|
m|a|d|i|s:o:n|	ম|া|ড|ি|স:ন|
m:a|d|m:a|m:a|n|i|	প|দ:্|ম|ম|ন|ি|
m|a|d|o|	ম|া|দ|ো|
m|a|d|o|n|d|o|	ম|া|ড|ো|ন:্|ড|া|
m|a|d:o:n|n|a|	ম:্|য:া|ড:ো|ন|া|
m|a|d|p|u|r|i|	ম|া|দ|প|ু|র|ি|
m|a|d|r|a|s|	ম|া|দ:্|র|া|জ|
m|a|d|r|i|d|	ম|া|দ:্|র|ি|দ|
m|a|d|r|i|y|a|	ম|া|দ|র|ি|য়|া|
m|a|d|u|g|a|l:l:e|	ম|া|দ|ু|গ|া|ল:ে|
m|a|d|u|r|a|	ম|া|দ|ু|র|া|
m|a|d|u|r|a|i|	ম|া|দ|ু|র|া|ই|
m:a|d|u|s|u:d:a|n|	ম|দ|ু|স|ূ:দ|ন|
m:a|f|i|z|u|l|	ম|ফ|ি|জ|ু|ল|
m|a|f|i|z|u|r|	ম|া|ফ|ি|জ|ু|র|
m|a|f|u|j|a|	ম|া|ফ|ু|জ|া|
m:a|g|a|r|a|m|	ম|গ|া|র|া|ম|
m|a|g|a|r|a|m|	ম|া|গ|া|র|া|ম|
m|a|g|e:l:l|a|n|	ম:্|য:া|গ|ে:ল|া|ন|
m:a|g|l|u|	ম|গ|ল|ু|
m:a|g|n|a|	ম|গ|ন|া|
m|a|g|n|e|s|i|u|m|	ম:্|য:া|গ|ন|ে|শ|ি|য়:া|ম|
m|a|g|n|i|f|i|c|e|n|t|	ম:্|য:া|গ|ন|ি|ফ|ি|স:ি|য়:ে|ন:্|ট|
m|a|g|o|f:f|i|n|	ম:্|য:া|গ|ো|ফ|ি|ন|
m:a|g|r|u|	ম|গ|র|ু|
m|a|g|s|a:y|s|a:y|	ম|া|গ|স|ে|স|ে|
m|a|g|u|i|r:e|	ম|া|গ|ু|ই|র|
m|a|h|	ম|া|হ|
m|a|h|a|	ম|া|হ|া|
m:a|h|a|b|a|l|	ম|হ|া|ব|া|ল|
m:a|h|a|b:a|l|i|p|u|r:a|m|	ম|হ|া|ব|ল|ী|প|ু|র|ম|
m:a|h:a|b:a|t|a|l|i|	ম|হ|ব|ত|আ|ল|ি|
m:a|h|a|b:h:a|r:a|t|	ম|হ|া|ভ:া|র|ত|
m:a|h|a:b:i|r|	ম|হ:া|ব:ী|র|
m:a|h|a|b|u|b|	ম|হ|া|ব|ু|ব|
m|a|h:a|b|u|b|a|	ম|া|হ|ব|ু|ব|া|
m:a|h:a|b|u|d|a|	ম|হ|ব|ু|দ|া|
m:a|h:a|b|u|l|l|a|	ম|হ|ব|ু|ল:্|ল|া|
m:a|h|a|d|e|b|	ম|হ|া|দ|ে|ব|
m:a|h|a|d|e|o|	ম|হ|া|দ|ে|ও|
m:a|h|a|d|e|v|	ম|হ|া|দ|ে|ব|
m:a|h|a|d|e|v|i|	ম|হ|া|দ|ে|ব|ী|
m:a|h|a|g:a|n|a:p:a|t|i|	ম|হ|া|গ|ণ|প|ত|ি|
m:a|h|a|j:a|n|	ম|হ|া|জ|ন|
m|a|h|a|j|a|r|a|b|i|b|i|	ম|া|হ|া|জ|া|র|া|ব|ি|ব|ি|
m:a|h|a|k|a|l|e|s:h:w|a|r|	ম|হ|া|ক|া|ল|ে|শ|্:ব|র|
m:a|h:a|l|	ম|হ|ল|
m:a|h|a|l|a|x|m|i|	ম|হ|া|ল|ক:্|ষ:্|ম|ী|
m|a|h|a|l|e|	ম|া|হ|া|ল|ে|
m:a|h|a|m|e|n|a|	ম|হ|া|ম|ে|ন|া|
m:a|h:a|m|m:a|d|	ম|হ|ম:্|ম|দ|
m:a|h:a|m|m:a|d|a|l|i|	ম|হ|ম:্|ম|দ|া|ল|ী|
m:a|h:a|m|u|d|a|	ম|হ|ম|ু|দ|া|
m:a|h|a|n|a:d:i|	ম|হ|া|ন|দ:ী|
m:a|h|a|n:a|g:a|r|	ম|হ|া|ন|গ|র|
m|a|h|a|n|a|m|a|	ম|া|হ|া|ন|া|ম|া|
m:a|h|a|n:a|n|d:a|	ম|হ|া|ন|ন:্|দ|
m:a|h:a|n|m:a|d|	ম|হ|ন:্|ম|দ|
m|a:h:a|n|u|r|u|l|	ম|হ:ঃ|ন|ু|র|ু|ল|
m:a|h|a|p|r:a|s|a|d|	ম|হ|া|প:্|র|স|া|দ|
m:a|h|a|r|a|j|	ম|হ|া|র|া|জ|
m:a|h:a|r|a|l|i|	ম|হ|র|আ|ল|ি|
m:a|h:a|r:a|m|a|l|i|	ম|হ|র|ম|আ|ল|ি|
m:a|h|a|r|a|s|h|t|r:a|	ম|হ|া|র|া|ষ|্|ট:্|র|
m|a|h|a|r:o:o|f|	ম|া|হ|া|র:ু|ফ|
m:a|h:a|r|s:h|i|	ম|হ|র:্|ষ|ি|
m|a:h:a|s:a|p:h:i|k|	ম|হ:ঃ|স|ফ:ি|ক|
m:a|h|a|s:h|w|e|t|a|	ম|হ|া|শ|্:ব|ে|ত|া|
m:a|h|a|s|i|n|	ম|হ|া|স|ী|ন|
m:a|h:a|s|i|n|a|l|i|	ম|হ|স|ি|ন|আ|ল|ি|
m:a|h|a|s|w|e|t|a|	ম|হ|া|শ|্:ব|ে|ত|া|
m:a|h|a|v:e:e|r|	ম|হ|া|ভ:ী|র|
m:a|h|a|v|i|r|	ম|হ|া|ব|ী|র|
m|a|h|b:o:o|b|	ম|া|হ|ব:ু|ব|
m:a|h|b|u|b|a|l|i|	ম|হ|ব|ু|ব|আ|ল|ি|
m:a|h|e|l|a|	ম|হ|ে|ল|া|
m:a|h|e|n|d:a|r|	ম|হ|ে|ন:্|দ|র|
m|a|h|e|n|d|r:a|	ম|া|হ|ে|ন:্|দ:্|র|
m|a|h|e|n|d|r:a|g|a:r:h|	ম|া|হ|ে|ন:্|দ:্|র|গ|ড়|
m:a|h|e|n|d|r:a|n|a|t:h|	ম|হ|ে|ন:্|দ:্|র|ন|া|থ|
m:a|h|e|r|	ম|হ|ে|র|
m:a|h|e:s:h|	ম|হ|ে:শ|
m:a|h|e:s:h|c:h:a|n|d|r:a|	ম|হ|ে:শ|চ|ন:্|দ:্|র|
m:a|h|e:s:h|k|u|m|a|r|	ম|হ|ে:শ|ক|ু|ম|া|র|
m:a|h|e|s:h:w|a|r|i|	ম|হ|ে|শ|্:ব|র|ী|
m:a|h|e|s|w:a:r|	ম|হ|ে|শ:্|ব:র|
m|a|h|i|	ম|া|হ|ি|
m|a|h|i|a|	ম|া|হ|ি|য়:া|
m:a|h|i|b|a|	ম|হ|ি|ব|া|
m:a|h|i|b|a|n|u|	ম|হ|ি|ব|া|ন|ু|
m:a|h|i|b|u|l|	ম|হ|ি|ব|ু|ল|
m:a|h|i|b|u|r|	ম|হ|ি|ব|ু|র|
m:a|h|i|d|	ম|হ|ি|দ|
m:a|h|i|d|u|n|	ম|হ|ি|দ|ু|ন|
m:a|h|i|j|u|l|	ম|হ|ি|জ|ু|ল|
m|a|h|i|l|a|	ম|া|হ|ি|ল|া|
m:a|h|i|m|a|	ম|হ|ি|ম|া|
m:a|h|i|m|a|b|e|g:a|m|	ম|হ|ি|ম|া|ব|ে|গ|ম|
m:a|h|i|m:a|n|	ম|হ|ি|ম|ন|
m:a|h|i|m|a|r:a|n|j:a|n|	ম|হ|ি|ম|া|র|ঞ:্|জ|ন|
m:a|h|i|m|r:a|n|j:a|n|	ম|হ|ি|ম|র|ঞ:্|জ|ন|
m:a|h|i|m|u|d|d|i|n|	ম|হ|ি|ম|ু|দ:্|দ|ি|ন|
m:a|h|i|n|d|r:a|	ম|হ|ি|ন:্|দ:্|র|
m:a|h|i|n|i|	ম|হ|ি|ন|ী|
m:a|h|i|n|u|r|	ম|হ|ি|ন|ু|র|
m:a|h|i|p|a|l|	ম|হ|ী|প|া|ল|
m:a|h|i|r|a|m|	ম|হ|ি|র|া|ম|
m:a|h|i|r|u|d|d|i|n|	ম|হ|ি|র|উ|দ:্|দ|ি|ন|
m:a|h|i|r|u|l|	ম|হ|ি|র|ু|ল|
m:a|h|i|u|d|d|i|n|	ম|হ|ি|উ|দ|দ|ি|ন|
m|a|h|m|u|d|	ম:হ|ন|্|ম|ু|দ|
m|a|h|m|u|d|a|k:h:a|t|u|n|	ম|া|হ|ম|ু|দ|া|খ:া|ত|ু|ন|
m|a|h|o|b|a|	ম|া|হ|ো|ব|া|
m:a|h:o|m|m:e|d|	ম|হ|ন:্|ম|দ|
m:a|h|r|i|	ম|হ|র|ী|
m:a|h|s|i|n|a|	ম|হ|স|ি|ন|া|
m:a|h|t|a|b|	ম|হ:া|ত|া|ব|
m|a|h|u|n|a|	ম|া|হ|ু|ন|া|
m:a|h|u|r|j|a|n|	ম|হ|ু|র|জ|া|ন|
m:a|i|d|	ম|ঈ|দ|
m|a|i|d|u|l|	ম|া|ই|দ|ু|ল|
m:a|i|d|u|n|	ম|ই|দ|ু|ন|
m|a|i|j|u|l|	ম|া|ই|জ|ু|ল|
m:a|i|j|u|n|	ম|ই|জ|ু|ন|
m|a|i|k|	ম|ে|ই|ক|
m|a|i|k|e|l|	ম|া|ই|ক|ে|ল|
m|a:i:l|	ম|ে:ল|
m:a|i:l:e|r|	ম|ে:ল|র|
m:a|i|m|u|d|a|	ম|ই|ম|ু|দ|া|
m:a|i|m|u|n|	ম|ই|ম|ু|ন|
m|a|i|n:e|	ম|ে|ই|ন|
m:a|i|n|u|l|	ম|ই|ন|ূ|ল|
m:a|i|n|u|l|h:a|k|	ম|ই|ন|ু|ল|হ|ক|
m|a|i|n|u|r|a|	ম|া|ই|ন|ু|র|া|
m:a|i|p:h:u|j|a|	ম|ই|ফ:ু|জ|া|
m:a|i|r|u|m|	ম|ৈ|র|ু|ম|
m:a|i|r|u|n|	ম|ই|র|ু|ন|
m:a|i|s|u|n|	ম|ই|স|ু|ন|
m|a|i|z|e|r|e|t|	ম|া|ই|জ|ে|র|ে|ট|
m:a|i|z|u|d|d|i|n|	ম|ই|জ|ু|দ:্|দ|ি|ন|
m|a|j|a|d|a|l|i|	ম|া|জ|ে|দ|আ|ল|ি|
m|a|j|a|d|a|n|	ম|া|জ|ে|দ|া|ন|
m:a|j|a|f|f:a|r|	ম|জ|া|ফ|ফ|র|
m|a|j|a|r|u|l|	ম|া|জ|া|র|ু|ল|
m:a|j|b|u|n|	ম|জ|ব|ু|ন|
m:a|j|b|u|r|	ম|জ|ব|ু|র|
m:a|j|b|u|r|a|	ম|জ|ব|ু|র|া|
m:a|j|e|l|	ম|জ|ে|ল|
m:a|j|e|p:h:a|	ম|জ|ে|ফ:া|
m|a|j:h:a|i|l|	ম|া|ঝ:া|ই|ল|
m:a|j|h|a|r|	ম|জ|হ|া|র|
m|a|j:h:i|r|a|m|	ম|া|ঝ:ি|র|া|ম|
m:a|j|i|b|u|r|	ম|জ|ি|ব|ু|র|
m|a:j:i|d|	ম|জ:ী|দ|
m|a|j|i|d|a|	ম|া|জ|ি|দ|া|
m:a|j|i|d|a|n|	ম|জ|ি|দ|া|ন|
m:a|j|i|l|a|	ম|জ|ি|ল|া|
m:a|j|i|m|a|	ম|জ|ি|ম|া|
m:a|j|i|r|u|n|	ম|জ|ি|র|ু|ন|
m|a|j|i|t:h|a|	ম|া|জ|ি|থ|া|
m|a|j|n|u|	ম|া|জ|ন|ু|
m|a|j:o|r|	ম|ে|জ|র|
m:a|j|p|h|p:h:a|r|	ম|জ|ফ|্|ফ|র|
m|a|j|r|i|	ম|া|জ|র|ি|
m:a|j|r|u|n|	ম|জ|র|ু|ন|
m|a|j|u|b|i|b|i|	ম|া|জ|ু|ব|ি|ব|ি|
m:a|j|u|r|a|	ম|জ|ু|র|া|
m:a|k:a|r|d:a|m|	ম|ক|র|দ|ম|
m|a|k|a|t|i|	ম|া|ক|া|ত|ি|
m:a|k|b|u|l|	ম|ক|ব|ু|ল|
m|a|k:h:a|n|	ম|া|খ|ন|
m|a|k:h:a|n|c:h:a|n|d|r:a|	ম|া|খ|ন|চ|ন:্|দ:্|র|
m|a|k:h:a|n|l|a|l|	ম|া|খ|ন|ল|া|ল|
m|a|k:h:a|y|a|	ম|া|খ|্:য|া|
m|a|k:h|o|w|a|l|	ম|া|খ|ো|ও|য়:া|ল|
m:a|k|i|b|u|l|	ম|ক|ি|ব|ু|ল|
m|a|k|i|t:a|	ম|া|ক|ি|ট|
m:a|k|k|a|	ম|ক:্|ক|া|
m|a|k|k:h:u|	ম|া|ক:্|ষ:ু|
m|a|k|o|w|a|l|	ম|া|ক|ো|ও|য়:া|ল|
m:a|k|r|u|	ম|ক|র|ু|
m:a|k|s:h|u|d|	ম|ক|শ|ু|দ|
m|a|k|s|u|d|	ম|া|ক|স|ু|দ|
m:a|k|s|u|d|a|	ম|ক|স|ু|দ|া|
m:a|k|s|u|d|a|l:a|m|	ম|ক|স|ু|দ|আ|ল|ম|
m:a|k|s|u|d:a|n|	ম|ক|স|ু|দ|ন|
m:a|k|s|u|m|a|	ম|ক|স|ু|ম|া|
m:a|k|s|u|r|a|	ম|ক|স|ু|র|া|
m|a|l|	ম|া|ল|
m|a|l|a|b|a:t:i|	ম|া|ল|া|ব|ত:ী|
m|a|l|a:b:i|k|a|	ম|া|ল|ব:ী|ক|া|
m|a|l|a|d:h:a|r|	ম|া|ল|া|ধ|র|
m|a|l|a|g|a|	ম|া|ল|া|গ|া|
m|a|l:a|i|	ম|া|ল|ই|
m:a|l:a:j|k|u|m|a|r|	ম|ল:য|ক|ু|ম|া|র|
m|a|l|a|k|j|a|n|	ম|া|ল|ে|ক|জ|া|ন|
m|a|l:a|n|c:h:a|	ম|া|ল|ঞ:্|চ|
m|a|l|a|r|	ম|া|ল|া|র|
m|a|l|a|r|a|n|i|	ম|া|ল|া|র|া|ন|ী|
m|a|l|a:t:i|	ম|া|ল|ত:ী|
m|a|l:a|t|i|d|e|b|i|	ম|া|ল|ত|ি|দ|ে|ব|ী|
m|a|l|a:t:i|d|e|v|i|	ম|া|ল|ত:ী|দ|ে|ব|ী|
m|a|l:a|t|i|r|a|n|i|	ম|া|ল|ত|ি|র|া|ন|ী|
m|a|l|a|w|i|	ম|া|ল|া|য়|ি|
m|a|l:a|y|	ম|া|ল|য়|
m|a|l|a|y|a|l|a|	ম|া|ল|া|য়|া|ল|া|
m|a|l:a|y|a|l:a|m|	ম|া|ল|য়|া|ল|ম|
m:a|l:a:y|k|a|n|t|i|	ম|ল:য|ক|া|ন:্|ত|ি|
m|a|l:a|y|s|i|a|	ম|া|ল|য়|ে:শ|ি|য়:া|
m|a|l|b|o|r|o|u:g:h|	ম|া|ল|ব|ো|র|ো|জ|
m|a|l|c|o|l|m|	ম|া|ল|ক|ো|ল:্|ম|
m|a|l|e|k|a|	ম|া|ল|ে|ক|া|
m|a|l|e|k|a|b|e|g:a|m|	ম|া|ল|ে|ক|া|ব|ে|গ|ম|
m|a|l|e|k|a|b|i|b|i|	ম|া|ল|ে|ক|া|ব|ি|ব|ি|
m|a|l|h|a|n|	ম|া|ল|হ|া|ন|
m|a|l|h|a|r|	ম|া|ল|হ|া|র|
m:a|l|i|	ম|ল|ি|
m:a|l|i|b|i|b|i|	ম|ল|ি|ব|ি|ব|ি|
m|a|l|i|k|	ম|া|ল|ি|ক|
m|a|l|i|k|a|	ম|া|ল|ি|ক|া|
m:a|l|i|n|a|	ম|ল|ি|ন|া|
