h|e|t|f|i|e:l|d|	ה|י|ט|פ|י|ל|ד|
c|l|a:u|d:e|	ק|ל|ו|ד|
k|a|z|u|y|a|	ק|א|ז|ו|י|א|
f:e|k|r|i|	פ|ק|ר|י|
c|o|n|s|t|a|n|t|i|n:e|s|c|u|	ק|ו|נ|ס|ט|א|נ|ט|י|נ|ס|ק|ו|
b|a|n|k|s|	ב|א|נ|ק|ס|
t|o|r|i|	ט|ו|ר|י|
c|o:o|l|s|	ק|ו|ל|ז|
b:e|l:l|	ב|ל|
m:i|y|u|k|i|	מ|י|ו|ק|י|
a|r|m|a|n|d|o|	א|ר|מ|א|נ|ד|ו|
r|a|s|a|	ר|א|ס|א|
b|e:r|n|a|l|	ב|ר|נ|א|ל|
m:a|n|o:u|c|h:e|h|r|	מ|נ|ו|צ|'|ה|ר|
h:a|y|a|t|o:u|	ח|י|א|ט|ו|
s|i|v|o|k|	ס|י|ב|ו|ק|
l|a|s|c:e|l:l|e:s|	ל|א|ס|י|ל|ס|
d|o|r|i|	ד|ו|ר|י|
g|a|s|t|o|n|	ג|א|ס|ט|ו|ן|
k|e:n|t|	ק|נ|ט|
c|a|l|u|m|	ק|א|ל|ו|ם|
b|a|h|e:r|	ב|א|ה|ר|
b:e|n|t|	ב|נ|ט|
c:e|n|t|	ס|נ|ט|
t|s|e|r|k|v|a|	ט|ס|י|ר|ק|ב|א|
d|e|m|e|r|i|t|	ד|י|מ|י|ר|י|ט|
s:h|a:b|a|b|	ש|ב|א|ב|
c:h|a|i|d|a|r|i|	ח|א|י|ד|א|ר|י|
s|a|m|p|a|i|o|	ס|א|מ|פ|א|י|ו|
j|o|s|e|	ח|ו|ס|ה|
d|i|m|o|n|a|	ד|י|מ|ו|נ|ה|
i|l|y|a|	א:י|ל|י|א|
d:e|h|n|	ד|ה|ן|
f|e|h|n|	פ|י|ה|ן|
v|o|l|o|d|y|m|y|r|	ו|ו|ל|ו|ד|י|מ|י|ר|
m:e|e|n|o|	מ|י|נ|ו|
s|i|l|w|a|n|	ס|י|ל|ו|א|ן|
k|r|i|s|t:e|n|s|e:n|	ק|ר|י|ס|ט|נ|ס|ן|
b:e|i|t:e|i:n|u|	ב|י|ת|נ|ו|
n|i|k|i|t|a|	נ|י|ק|י|ט|א|
c:h|i|c|a|g|o|	ש|י|ק|א|ג|ו|
a|l|t|a|	א|ל|ט|א|
s|t|e|i|n|b:e|c:k|	ס|ט|י|י|נ|ב|ק|
n:e|p|a|l|	נ|פ|א|ל|
s|c|o|r|s|e|s|e|	ס|ק|ו|ר|ס|י|ז|י|
s|o:u|a|d|	ס|ו|ע:א|ד|
m|c|b|r|i|d:e|	מ|ק|ב|ר|א:י|ד|
s:h|i|l:l|e:r|	ש|י|ל|ר|
d:j|e|b|a|r|	ג|'|ב|א|ר|
u|g|a|n|d|a|	א:ו|ג|א|נ|ד|א|
w|i|n|o|n|a|	ו|י|נ|ו|נ|א|
l|o|b|o|d|z|i|n|s|k|i|	ל|ו|ב|ו|ד|ז|י|נ|ס|ק|י|
k|o|p|k|e|	ק|ו|פ|ק|ה|
t|o|c|a|n|t|i|n|s|	ט|ו|ק|א|נ|ט|י|נ|ז|
m|u|t|i|	מ|ו|ט|י|
g|r|a|n|d:e|s|	ג|ר|א|נ|ד|ס|
s|i|l|v|e|s|t|r:e|	ס|י|ל|ב|י|ס|ט|ר|
s:c|h:n|e|i|d|e:r|h|a|n|	ש|נ|א|י|ד|ר|ה|א|ן|
m|o|d|i|s|e|	מ|ו|ד|י|ס|י|
s|v|e|t|o|s|l|a|v|	ס|ב|י|ט|ו|ס|ל|א|ב|
b|a|s:s|	ב|א|ס|
b|o|a:t|e|n|g|	ב|ו|ט|י|נ|ג|
p|i|o:u|s|	פ|א:י|ו|ס|
m|i|l:e|	מ|י|ל|
f|r|a|n|c:e|s|	פ|ר|א|נ|ס|ס|
k:e|e|n:e|	ק|י|ן|
t|e|y|m|o:u|r|i|a|n|	ט|י|י|מ|ו|ר|י|א|ן|
y|a:h|a:l|o|m|	י|ה|ל|ו|ם|
b|a|m|a|k|o|	ב|א|מ|א|ק|ו|
f|a|h:e|d|	פ|א|ה|ד|
p|e|l:l|e|g|r|i|n|i|	פ|י|ל|י|ג|ר|י|נ|י|
m|i|g:u|e:l|	מ|י|ג|ל|
k|i|n|k|e:l|	ק|י|נ|ק|ל|
k|l|o|s:e|	ק|ל|ו|ס|
f|o|r|t|u|n|y|	פ|ו|ר|ט|ו|נ|י|
p|o|n|d|	פ|ו|נ|ד|
p|e|t|r|	פ|י|ט|ר|
l|a:u|s|a:n|n:e|	ל|ו|ז|א|ן|
y|a|m|a|g|i|s:h|i|	י|א|מ|א|ג|י|ש|י|
s|o:u|s|a|	ס|ו|ז|א|
d|u|r|s|	ד|ו|ר|ס|
g|r:e|e|n|s|p|a|n|	ג|ר|י|נ|ס|פ|א|ן|
b|i|k|i|l|a|	ב|י|ק|י|ל|א|
m|o|s|l:e|y|	מ|ו|ז|ל|י|
i|b|a|	א:י|ב|א|
p|a|n|t|e|l|i|c|	פ|א|נ|ט|י|ל|י|ט:ש|
z|o|h:a|r|	ז|ו|ה|ר|
b|r|e|m|n|e:r|	ב|ר|י|מ|נ|ר|
b|r|i|g:h|a:m|	ב|ר|י|ג|ם|
p|r|y|o|r|	פ|ר|א:י|ו|ר|
n:a|s|r|a|l|l|a:h|	נ|ס|ר|א|ל|ל|ה|
t|o|d|o|r|o|v|	ט|ו|ד|ו|ר|ו|ב|
s|i|d|h|o|m|	ס|י|ד|ה|ו|ם|
t|a|m|o|x|i|f|e|n|	ט|א|מ|ו|ק:ס|י|פ|י|ן|
s|u|s:s|m|u|t:h|	ס|ו|ס|מ|ו|ת|
s:h|o|l:e|s|	ש|ו|ל|ז|
b|a|n|d:e|i|r|a|	ב|א|נ|ד|י|ר|א|
v|a|l:e|	ו|י:י|ל|
s|a|n|t|o|n|	ס|א|נ|ט|ו|ן|
g:a|l|i|l|i|	ג|ל|י|ל|י|
m|e|t|a|l:l|i|c|a|	מ|י|ט|א|ל|י|ק|א|
h|a|t|s|u|m|i|	ה|א|ט|ס|ו|מ|י|
f|i|n|l|a|n|d|	פ|י|נ|ל|א|נ|ד|
k|o|k|e:n|	ק|ו|ק|ן|
t:h|a|b|o|	ת|א|ב|ו|
s|n:e|h|	ס|נ|ה|
c|o|n:n|e:r|y|	ק|ו|נ|ר|י|
c|r|o|n|b|a|c:h|	ק|ר|ו|נ|ב|א|ך|
y|a|r|d|l:e|y|	י|א|ר|ד|ל|י|
h|i|r|s|i|	ה|י|ר|ס|י|
t|i|m:m|y|	ט|י|מ|י|
d|a|r:r|e|n|	ד|א|ר|י|ן|
r|o|s:e|a:u|	ר|ו|ס|ו|
s:h|a:b|t|a|i|	ש|ב|ת|א|י|
n|i|s|r|	נ|י|ס|ר|
a|l|b|e:r|t|i|	א|ל|ב|ר|ט|י|
m|a|r|g|a:r|e|t|	מ|א|ר|ג|ר|י|ט|
c|o|r|a|s|	ק|ו|ר|א|ס|
r|i|b|e|i|r|o|	ר|י|ב|י|י|ר|ו|
s|m|e|r|t|i|n|	ס|מ|י|ר|ט|י|ן|
l|a|u|r|i|d|s|e:n|	ל|א|ו|ר|י|ד|ס|ן|
s|t|a|p|l:e|t|o|n|	ס|ט|י:י|פ|ל|ט|ו|ן|
y|a|s|u|d|a|	י|א|ס|ו|ד|א|
j|e:r|e:m|i:e|	ג:'|ר|מ|י|
r:e|h|m|a|n|	ר|ח|מ|א|ן|
c|e|c|i|l|i|a|	ס|י|ס|י|ל|י|א|
n|i|m|i|t:z|	נ|י|מ|י|ץ|
m:e|c:h|n|e:r|	מ|ק|נ|ר|
f|a|t|i|h|	פ|א|ט|י|ח|
t|o|p|o|l|a|n|e|k|	ט|ו|פ|ו|ל|א|נ|י|ק|
g|o|l|a|n|s|k|i|	ג|ו|ל|א|נ|ס|ק|י|
m|i|t|i|c|	מ|י|ט|י|ט:ש|
d|e|l|p:h|i|	ד|י|ל|פ|י|
m|l|a|d:e|n|	מ|ל|א|ד|ן|
t|h:u|r|a|m|	ט|ו|ר|א|ם|
b|e|r|i|s:h|a|	ב|א|ר|י|ש|א|
g|a|r|i|s:e|b|	ג|א|ר|י|ס|ב|
d:e|l|i|l|a:h|	ד|ל|א:י|ל|ה|
f|o|n|d|a|	פ|ו|נ|ד|א|
m|a|i|d|i:n|	מ|א|י|ד|ן|
n|u|n|a|v|u|t|	נ|ו|נ|א|ב|ו|ט|
s:h|i|n|o|d|a|	ש|י|נ|ו|ד|ה|
q|v|i|s|t|	ק|ב|י|ס|ט|
b|e|e:r|	ב|י|ר|
s|a|n|d|e:r|s|	ס|א|נ|ד|ר|ז|
d|a|o:u|d|	ד|א|ו|ד|
r:e|y|n|a|l|d|	ר|י|נ|א|ל|ד|
p|r|o|y|a|s|	פ|ר|ו|י|א|ס|
p|o|t|o|c|a|r|i|	פ|ו|ט|ו|ק|א|ר|י|
s|m|i|t:h|i:e|s|	ס|מ|י|ת|י|ז|
s:h|o|l|a|	ש|ו|ל|א|
e|l|g:h|i|t|a|n|i|	א|ל|ג|י|ט|א|נ|י|
c|o|l:l|e|e:n|	ק|ו|ל|י|ן|
k:n|e|z|	נ|י|ז|
v|a|v|a|	ו|א|ו|א|
b|a|b:a|n|g|i|d|a|	ב|א|ב|נ|ג|י|ד|א|
t|a|g|o:e|	ט|א|ג|ו|
p:e|d|r|o|	פ|ד|ר|ו|
s|o|l|o:w|	ס|ו|ל|ו|
a|n|t|i|g|u|a|	א|נ|ט|י|ג|ו|א|
l|a|d|a|	ל|א|ד|א|
v|u|k:o|j:e|v|i|c|	ב|ו|ק|ו|ב|י|ט:ש|
m|i|c|a:h|	מ|י|ק|ה|
u|m|a|r|u|	ע|מ|א|ר|ו|
m|o|z|a|m|b|i:q|u:e|	מ|ו|ז|א|מ|ב|י|ק|
t|i|c|o|	ט|י|ק|ו|
v|i|t|a|l|i|s|	ו|י|ט|א|ל|י|ס|
g|o|r|a|n|	ג|ו|ר|א|ן|
b|a|h|i|	ב|א|ה|י|
m:e|e|u:w|s|	מ|י|ו|ס|
h:a|n|o:u|n:e|	ח|נ|ו|ן|
b|r|a|h|e|	ב|ר|א|ה|י|
p|a|r|c|	פ|א|ר|ק|
j|u:l|e:s|	ז:'|ו|ל|
a|l|i|a|k|s|a|n|d|r|	א|ל|י|א|ק|ס|א|נ|ד|ר|
l|o|r:e|n|z|	ל|ו|ר|נ|ז|
n|o|r|o|d|o|m|	נ|ו|ר|ו|ד|ו|ם|
c|a|r|d|i|l:l|i|	ק|א|ר|ד|י|ל|י|
c|h:a|r|v|e|t|	ט:ש|א|ר|ו:ו|י|ט|
r|e|i|n|h|a|r|d:t|	ר|א|י|נ|ה|א|ר|ט|
r|a|y|m|o|n|d|	ר|א|י|מ|ו|נ|ד|
b|a|r|c|l|a|y|	ב|א|ר|ק|ל|י|י|
c|o|c|i|s|	ק|ו|ק|י|ס|
c|o|x|o|n|	ק|ו|ק:ס|ו|ן|
m|a|r|k|o|v|	מ|א|ר|ק|ו|ב|
f|e:r|d|i|n|a|n|d|	פ|ר|ד|י|נ|א|נ|ד|
r|u:w|i|	ר|ו|י|
b|l|i|s:s|	ב|ל|י|ס|
k|o|d|a|	ק|ו|ד|א|
v|a|n|a|h:e|i|m|r|	ו|א|נ|א|ה|י|מ|ר|
v:e|r:l|a:i|n:e|	ו|ר|ל|ן|
v|e:r|c|a|u|t|e|r|e|n|	ו|ר|ק|ו|א|ט|י|ר|י|ן|
p|a|y|n:e|	פ|י|י|ן|
g|o|d|a|	ג|ו|ד|א|
c|h:a|f|u|r|i|n|	צ:'|א|פ|ו|ר|י|ן|
b|e|l:a|i|d|	ב|י|ל|י:י|ד|
b|u|r|l|a|	ב|ו|ר|ל|א|
h|o|f|i|	ח|ו|פ|י|
k|o|f|i|	ק|ו|פ|י|
f|r|i|d|m|a|n|	פ|ר|י|ד|מ|א|ן|
s|a:r|h|a|n|	ס|ר|ח|א|ן|
m:a|s:s|a|r|o|	מ|ס|א|ר|ו|
l|a|s:h|l:e|y|	ל|א|ש|ל|י|
k|a|b|u|l|	ק|א|ב|ו|ל|
f|r|e|y|	פ|ר|י|י|
s|l|o|a:n|	ס|ל|ו|ן|
b|u:t|t:e|	ב:י|ו|ט|
g:a|n|z|o:u|r|i|	ג|נ|ז|ו|ר|י|
b:u|g|z|i|l:l|a|	ב|ג|ז|י|ל|א|
q|u|i|n|t|i|n|	ק|ו|י|נ|ט|י|ן|
r|u|s|k|	ר|א|ס|ק|
b|h:a|t|i|a|	ב|א|ט|י|א|
b|e|n|i|c|i|o|	ב|י|נ|י|ס|י|ו|
k|l|o|p:p|	ק|ל|ו|פ|
p|r|a|n|j:i|c|	פ|ר|א|נ|י|ט:ש|
m|a|r|c|e|l|i|n|o|	מ|א|ר|ס|י|ל|י|נ|ו|
s|t|r|i|t:t|m|a|t:t|e:r|	ס|ט|ר|י|ט|מ|א|ט|ר|
r|a|m|l|j|a|k|	ר|א|מ|ל|י|א|ק|
h|e|l|g:u|e|r|a|	ה|י|ל|ג|י|ר|א|
z|h|u|	ז|'|ו|
m|o|n|e|o|	מ|ו|נ|י|ו|
m|i|l:l|i|g|a|n|	מ|י|ל|י|ג|א|ן|
s|n|e|i:j|d|e:r|	ש|נ|א|י|ד|ר|
s|a|n|t|o|r|o|	ס|א|נ|ט|ו|ר|ו|
g:e|s|t|a|p|o|	ג|ס|ט|א|פ|ו|
m|o|g|g|i|	מ|ו|ד|ג:'|י|
j|e:r|u|s|a|l:e|m|	ג:'|ר|ו|ס|א|ל|ם|
m:e|h:a|i|d|l|i|	מ|ח|י|ד|ל|י|
m|a|s:h|e|g|o|	מ|א|ש|י|ג|ו|
g|a|l:l|a|g:h|e:r|	ג|א|ל|א|ג|ר|
g|a|r|g|o|	ג|א|ר|ג|ו|
n|y|a|r|k|o|	נ|י|א|ר|ק|ו|
a|r:a|z|i|	א|ר|ז|י|
t:h|o|r:e|a:u|	ת|ו|ר|ו|
s|u|g|i|y|a|m|a|	ס|ו|ג|י|י|א|מ|א|
e|l|m|	א:י|ל|ם|
s|a|n|z|	ס|א|נ|ז|
d|u|r|k|h|e|i|m|	ד|ו|ר|ק|ה|י|י|ם|
t|y|s|o|n|	ט|א:י|ס|ו|ן|
n|o|s|t|r|a|	נ|ו|ס|ט|ר|א|
k|e:y|n:e|s|	ק|י|נ|ז|
l|i|t|v|i|n|o|v|	ל|י|ט|ב|י|נ|ו|ב|
h|o|d|	ה|ו|ד|
s:c|h:r|o|e:d|e:r|	ש|ר|ו|ד|ר|
g|i:o|l|i|t:t|i|	ג:'|ו|ל|י|ט|י|
w:o|o|d:d|i:n|	ו|ו|ד|ן|
k|u|s|u|m|i|	ק|ו|ס|ו|מ|י|
m|o|c|h:i|z|u|k|i|	מ|ו|צ:'|י|ז|ו|ק|י|
h|o|l:l|e|i|n|	ה|ו|ל|י|י|ן|
k|o|n|e|v|	ק|ו|נ|י|ב|
z|a|m|o|r|a|n|o|	ז|א|מ|ו|ר|א|נ|ו|
l|e|n|s|t|r|a|	ל|י|נ|ס|ט|ר|א|
b|l|a|n|c|o|	ב|ל|א|נ|ק|ו|
f|i|s:h|e:r|	פ|י|ש|ר|
s:a|m:a|r|k:a|n|d|	ס|מ|ר|ק|נ|ד|
r|o|m|a|n|o|s|	ר|ו|מ|א|נ|ו|ס|
c|o|r|i|o|l|i|s|	ק|ו|ר|י|ו|ל|י|ס|
g|l|u|t|a|m|i|n:e|	ג|ל|ו|ט|א|מ|י|ן|
m:e|l|r|o|s:e|	מ|ל|ר|ו|ז|
p|r|i|s|t|i|n|a|	פ|ר|י|ס|ט|י|נ|א|
r|o|s|e:n|b|l|u|m|	ר|ו|ז|נ|ב|ל|ו|ם|
d|i|y:a|r|b:a|k|r|	ד|י|א|ר|ב|ק|ר|
n|o|r|i|h|i|r|o|	נ|ו|ר|י|ה|י|ר|ו|
r|a|d|i|o|h:e|a:d|	ר|א|ד|י|ו|ה|ד|
m:a|h|m|o:u|d|	מ|ח|מ|ו|ד|
b|i|l:l|o|n|g|	ב|י|ל|ו|נ|ג|
d|a|s|a|y|e|v|	ד|א|ס|א|י|י|ב|
j|u|s|u|f|i|	י|ו|ס|ו|פ|י|
j|u|l|i|a|	ג:'|ו|ל|י|א|
k|i|n|g|s|t|o|n|	ק|י|נ|ג|ס|ט|ו|ן|
c|o:o|l|i|d|g|e|	ק|ו|ל|י|ד|ג|'|
l|a|v|i:g|n:e|	ל|א|ב|י|ן|
s|i|g|r|i|d|	ס|י|ג|ר|י|ד|
a|d:a|i|r|	א|ד|י:י|ר|
y|o|s:h|i|r|o|	י|ו|ש|י|ר|ו|
b|o:u|a|b|	ב|ו|ע|ב|
b|l|a|g|o|j|a|	ב|ל|א|ג|ו|י|ה|
d|o|n:n|e:r|	ד|ו|נ|ר|
k|a|n|y|e|	ק|א|נ|י|י:ה|
h|o|l|d|e:r|l|i|n|	ה|ו|ל|ד|ר|ל|י|ן|
l|y|m|a|n|	ל|י|מ|א|ן|
m|i|l|f|o|r|d|	מ|י|ל|פ|ו|ר|ד|
s|a:a|d|a|n:e|	ס|ע|ד|א|ן|
f|r|a|n|c|i|s|c|o|	פ|ר|א|נ|ס|י|ס|ק|ו|
f|a|g:a|n|	פ|י:י|ג|ן|
c|o|r|n|w|a|l:l|	ק|ו|ר|נ|ו|א|ל|
r|o|s:s|e:l|l|i|n|i|	ר|ו|ס|ו|ל|י|נ|י|
c|o|n|s|t|a|n|t|i|u|s|	ק|ו|נ|ס|ט|א|נ|ט|י|ו|ס|
s:h|a:r|b|a|t|	ש|ר|ב|א|ט|
s|t|e|l|i|o|s|	ס|ט|י|ל|י|ו|ס|
f|i|a|s|c|o|	פ|י|א|ס|ק|ו|
b|r|z|i|c|	ב|ר|ז|י|ט:ש|
c|l|a|y|d|e:r|m|a|n|	ק|ל|י|י|ד|ר|מ|א|ן|
k|a|j|i|u|r|a|	ק|א|ג:'|י|ו|ר|א|
p|a|s|c|o|a|l|	פ|א|ס|ק|ו|א|ל|
s|m|o|l|e|n|s|k|	ס|מ|ו|ל|י|נ|ס|ק|
s|t|i|f|	ס|ט|י|ף|
g|r:e|e|n|w:o|o|d|	ג|ר|י|נ|ו|ו|ד|
s:c|h:a|a:f|	ש|א|ף|
g:e|c|z|i|	ג|ק|ז|י|
a|n|d|o|n|i|	א|נ|ד|ו|נ|י|
f|a|l|c|a|o|	פ|א|ל|ק|א|ו|
c|a|l:l|a|g:h|a|n|	ק|א|ל|א|ג|א|ן|
e|r|n:e|s|t|	א|ר|נ|ס|ט|
t:h|a|k|s|i|n|	ת|א|ק|ס|י|ן|
c|i|p|o|l:l|a|	צ:'|י|פ|ו|ל|א|
d|i|c:k|i|n|s|o|n|	ד|י|ק|י|נ|ס|ו|ן|
m|o|r|p:h|y|	מ|ו|ר|פ|י|
p|a|l:l|a|d|i|n|o|	פ|א|ל|א|ד|י|נ|ו|
s:c|h:m|i|d|t|	ש|מ|י|ד|ט|
v|i|s|w|a|n|a|t:h|a|n|	ו|י|ס|ו|א|נ|א|ת|א|ן|
m:a|t:t|a|w|a|	מ|ט|א|ו|ע|
l|a:u|r|i:e|	ל|ו|ר|י|
s:h|a|m|i|l|	ש|א|מ|י|ל|
b|o|n:n|e:r|	ב|ו|נ|ר|
b|i|r|s|k|	ב|י|ר|ס|ק|
k|a|i|a|	ק|א|י|א|
m|a|i|a|	מ|א|י|א|
b|o|s|k|o|	ב|ו|ס|ק|ו|
z:a|k|i|	ז|ק|י|
a|t|k|i|n|s|o|n|	א|ט|ק|י|נ|ס|ו|ן|
a|l:l|a|m|	ע|ל|א|ם|
c|o|r|n|e|l|i|u|	ק|ו|ר|נ|י|ל|י|ו|
a|m|n|o|n|	א|מ|נ|ו|ן|
r|e|p|e|t:t|o|	ר|י|פ|י|ט|ו|
r|o|y|	ר|ו|י|
m|a|k|i|	מ|א|ק|י|
h:e|n|d|e:r|s|o|n|	ה|נ|ד|ר|ס|ו|ן|
i|g|n|a:c|	א:י|ג|נ|ץ|
e|s:h|e:l|	א|ש|ל|
t|o|y|o|t|o|m|i|	ט|ו|י|ו|ט|ו|מ|י|
b|u|l:e|n|t|	ב|ו|ל|נ|ט|
h|o|n|d|a|	ה|ו|נ|ד|א|
k|o|s|t|e:r|	ק|ו|ס|ט|ר|
t|a|k|a|h|a|t|a|	ט|א|ק|א|ה|א|ט|א|
d|e|n|z|e:l|	ד|י|נ|ז|ל|
f|o|l|y|	פ|ו|ל|י|
j|e:r|i|c:h|o|	ג:'|ר|י|ק|ו|
p|r|e|s|t|o|n|	פ|ר|י|ס|ט|ו|ן|
s|u|h|a|	ס|ו|ח|ה|
d|e|n|z|i:l|	ד|י|נ|ז|ל|
w|a|y|n:e|	ו|י|י|ן|
a|t|o|p|i|c|	א|ט|ו|פ|י|ק|
s|e|t|s|u|b|u|n|	ס|י|ט|ס|ו|ב|ו|ן|
c|o|s|m|i|n|	ק|ו|ז|מ|י|ן|
f|o:u|a|d|	פ|ו|א|ד|
y|u|j|i|	י|ו|ג:'|י|
d|a|f|o:e|	ד|א|פ|ו|
p|e|r|s:s|o|n|	פ|י|ר|ס|ו|ן|
s:h|e|n|g|e|l|i|a|	ש|י|נ|ג|י|ל|י|א|
d|i|o:u|f|	ד|י|ו|ף|
t|a|m|a|d|a|	ט|א|מ|א|ד|א|
v|i|n|g|a|d|a|	ו|י|נ|ג|א|ד|א|
b|o|l|e|l:l|i|	ב|ו|ל|י|ל|י|
b|r|e|c:h|t|	ב|ר|י|ש|ט|
b|a:h|n|i|n|i|	ב|ח|נ|י|נ|י|
k|a|n|t|a|r|o|	ק|א|נ|ט|א|ר|ו|
b|o|s|m|a|n|	ב|ו|ס|מ|א|ן|
h:a|l|h|u|l|	ח|ל|ח|ו|ל|
i|d|i|	ע:י|ד|י|
s|t:e|e|d|	ס|ט|י|ד|
f|e|r:r|i|n|i|	פ|י|ר|י|נ|י|
j|o|d|y|	ג:'|ו|ד|י|
b|a|e:y|e:r|	ב|א|י|ר|
k:e|k|e|t|i|	ק|ק|י|ט|י|
s|t:e|e|l|	ס|ט|י|ל|
f|o|s|t|e:r|	פ|ו|ס|ט|ר|
z|h|a|n|g|	ז|'|א|נ|ג|
m|a|y|n:e|	מ|י|י|ן|
a|l|n:e|m|r|i|	א|ל|נ|מ|ר|י|
o|m|a|r|i|	ע:ו|מ|א|ר|י|
g|e|h:r|y|	ג|י|ר|י|
l|a|v|e:y|	ל|י:י|ב|י|
a|l:l|o:u|n|i|	ע|ל|ו|נ|י|
c|o|s|g|r|o|v:e|	ק|ו|ס|ג|ר|ו|ב|
h|o|b|e|i|k|a|	ח|ו|ב|י|י|ק|ה|
s|u|c:h|a|	ס|ו|ש|א|
k|e:n|d|r|i|c:k|	ק|נ|ד|ר|י|ק|
l:e|v|i|t:s|k|y|	ל|ו|י|צ|ק|י|
d|e|r|w|a|l:l|	ד|י|ר|ו|א|ל|
c|a|r|m|a|g:n|o|l|a|	ק|א|ר|מ|א|נ|ו|ל|א|
v|o|r|i|l|h:o|n|	ו|ו|ר|י|ל|ו|ן|
t|r|a|i|a|n|o|s|	ט|ר|א|י|א|נ|ו|ס|
n:a|y|s|m|i|t:h|	נ|י|י:ס|מ|י|ת|
t|e|v|e|z|	ט|י|ב|י|ז|
s|a|n|g|e:r|	ס|א|נ|ג|ר|
s|e|o|u:l|	ס|י|א:ו|ל|
p|e|r|e|i|r|a|	פ|י|ר|י|י|ר|א|
s|c|a|l|a|	ס|ק|א|ל|א|
t|a|k|a|h|a|s:h|i|	ט|א|ק|א|ה|א|ש|י|
m|a|j|s|t|o:r|o|v|i|c|	מ|א|י|ס|ט|ר|ו|ב|י|ט:ש|
e|l|s|t|	א|ל|ס|ט|
k:h|a|i|r|y|	ח|י|י|ר|י|
f|e:r|n|a|n|d|e|z|	פ|ר|נ|א|נ|ד|י|ז|
m|e:r|c|e|d:e|s|	מ|ר|ס|י|ד|ס|
s:h|i|g|e:y|o|s:h|i|	ש|י|ג|י|ו|ש|י|
h|u|t|u|	ה|ו|ט|ו|
f|e|r|n|a|n|d|e|s|	פ|י|ר|נ|א|נ|ד|י|ז|
n:e|g|r|i|l|a|	נ|ג|ר|י|ל|א|
m|u|t|u|	מ|ו|ט|ו|
d|u|b:e|r:r|y|	ד|ו|ב|ר|י|
g:u|i|n:n|e|s:s|	ג|י|נ|י|ס|
r|e|m|e|t:t|e|r|	ר|י|מ|י|ט|י|ר|
a|s|i|	ע:א|ס|י|
f|a:u|r|i|s:s|o|n|	פ|ו|ר|י|ס|ו|ן|
j|o|a|n:n|a|	ג:'|ו|א|נ|א|
e|b|e:r|h|a|r|d|	א|ב|ר|ה|א|ר|ד|
h|o|r|i|s|o|n|	ה|ו|ר|י|ס|ו|ן|
s|t|a|m|b|a|c:h|r|	ס|ט|א|מ|ב|א|כ|ר|
b|o|y|d|	ב|ו|י|ד|
y|u|l|	י|ו|ל|
c|o|c|u|	ק|ו|ק|ו|
b|a|s|i|n|a|s|	ב|א|ס|י|נ|א|ס|
j|u|n|g|e:r|	ג:'|ו|נ|ג|ר|
s:a|l|a|m:e|h|	ס|ל|א|מ|ה|
s|u|l|	ס|ו|ל|
g|o|t:t|f|r|i:e|d|	ג|ו|ט|פ|ר|י|ד|
e|l|r|i|c:h|	א|ל|ר:י|ט|ש|
k:e|i|s|e:r|	ק|י|ס|ר|
r|u:s|s:e|l:l|	ר|א|ס|ל|
t|a:k|s|i|m|	ט|ק|ס|י|ם|
e|u|r|i|p|i|d|e|s|	י|ו|ר|י|פ|י|ד|י|ז|
l|a|n|g|	ל|א|נ|ג|
b|r|a|h:e|m|	ב|ר|א|ה|ם|
m|e|t:t|o|m|o|	מ|י|ט|ו|מ|ו|
c|a|f|u|	ק|א|פ|ו|
h|a|w|s|a|w|i|	ה|א|ו|ס|א|ו|י|
z:a|k:a|r|i:y|y:a|	ז|ק|ר|י|א|
j|a|i:r|z|i|n|h:o|	ג:'|א|ר|ז|י|נ:י|ו|
l:e|v|i|n:e|	ל|ו|י|ן|
p|i|e|r|i|n|o|	פ|י|י|ר|י|נ|ו|
h:e|n|e|d|i|	ה|נ|י|ד|י|
s|a|b|o|r|i|o|	ס|א|ב|ו|ר|י|ו|
r|o|g|e:r|s|	ר|ו|ג:'|ר|ז|
c|h:e|a:d|l:e|	צ:'|י|ד|ל|
a|l|i|g:h|i|e|r|i|	א|ל|י|ג|י|י|ר|י|
c|l:a|i|r|	ק|ל|י:י|ר|
s:h|a|n|k|l|y|	ש|א|נ|ק|ל|י|
h|u|m|s:s|i|	ח|ו|מ|ס|י|
y:e|f|i|m|	י|פ|י|ם|
s|t|e|p:h|e:n|s|	ס|ט|י|פ|נ|ס|
t:h|a|n|t|	ת|א|נ|ט|
a|u|d|r:e|y|	א|ו|ד|ר|י|
t|e|r|i|m|	ט|י|ר|י|ם|
j|u|n|i|o|r|	ג:'|ו|נ|י|ו|ר|
g|a|l|i|n|o|v|i|c|	ג|א|ל|י|נ|ו|ב|י|ט:ש|
w|i|t|s|c:h|g:e|	ו|י|ט|ס:ט|ש|ג|
h|u|a|r|d|	ה|ו|א|ר|ד|
d|a|k|o|t|a|	ד|א|ק|ו|ט|א|
t|a|k|a|s:h|i|	ט|א|ק|א|ש|י|
s|a|r|a|n|d|o|n|	ס|א|ר|א|נ|ד|ו|ן|
k|r|u|z|e:n|	ק|ר|ו|ז|ן|
t|i|r|	ט|י|ר|
r|o|s|t|i|s|l|a|v|	ר|ו|ס|ט|י|ס|ל|א|ב|
r|a|n|i|	ר|א|נ|י|
e|i:n|d|h|o|v|e:n|	א|נ|ד|ה|ו|ב|ן|
