G|i|b|r|a|l|t|á|r:i|	G|i|b|r|a|l|t|a|r|
I|n|t|e|r|t|o|t|ó|	I|n|t|e|r|t|o|t|o|
S|c|o|r|a|i|l|l|e|	S|c|o|r|a|i|l|l|e:s|
G|e|o|i|n|f|o|r|m|a|t|i|k|a|	G|e|o|i|n|f|o|r|m|a|t|i|c|s|
I|s|t|v|á|n|	I|š|t|v|a|n|
M|ă|g|h|e|r|u|ş|	M|ă|g|h|e|r|u|ș|
H|e|d|e|d|e|t|	H|e|d|e|t|e|t|
N|o|b|u|h|i|s:z|a|	N|o|b|u|h|i|s|a|
D|i|é|n|	D|i|e|n:e|
D|i|f|l|u|o|r|m|e|t|á|n|	D|i|f|l|u|o|r:o|m|e|t:h|a|n:e|
S|a|s|a|	S|a|š|a|
P|e|s|h|k|o|p|i:a|	P|e|s|h|k|o|p|i|
B|o|l|a|t|	B|u|l|a|t|
Z|a|p|o|d|i|a|	Z|ă|p|o|d|i|a|
A|m|a|t|h|u|s:z|	A|m|a|t|h|u|s|
L|o|n|g|i|t|u|d|i|n|á:l|i:s|	L|o|n|g|i|t|u|d|i|n|a|l|
V|e|r|o|n|a:i|	V|e|r|o|n|a|
Z|í|r|i|d:a|	Z|i|r|i|d|
C|s|e|s|z|n|e|k|i|	C|s|e|s|z|n|e|k|y|
K|o|p|e|r|n|í|c|i|u|m|	C|o|p|e|r|n|i|c|i|u|m|
B|a|l|m|o|r|a|l:i|	B|a|l|m|o|r|a|l|
E|p|i|r|u|s:z|	E|p|i|r|u|s|
P|l|z|e|ň|e|c|	P|l|z|e|n|e|c|
N|u|m|e|r|i|a:n|u:s|	N|u|m|e|r|i|a|n|
m|á|n|i|a|	M|a|n|i|a|
Á|h|m|e|d|	A|h|m|e|d|
A|l|e|k|s:z|e:j|e|v|	A|l|e|k|s|e|e|v|
e|x|p|e|d|í|c|i|ó|	E|x|p|e|d|i|t|i|o:n|
E|c|k|m|ü|h|l:i|	E|c|k|m|ü|h|l|
G|á|b|r|i|e|l|	G|a|b|r|i|e:l|':s|
B|e|r|i|l|l|i|u|m|	B|e|r|y|l|l|i|u|m|
L|i|v|e|r|p|o|o|l:i|	L|i|v|e|r|p|o|o|l|
O|n|k|o|f|e|r|t|i|l|i|t|á:s|	O|n|c|o|f|e|r|t|i|l|i|t|y|
R|a|d|o|v|á|n|	R|a|d|o|v|a|n|
I|z|r|a|e|l|i|	I|s|r|a|e|l|i|
l|ü|n|e|b|u|r|g:i|	L|ü|n|e|b|u|r|g|
B|a|r|n|a|b|á|s|	B|a|r|n|a|b|a|s|
P|a|u|l|i|n|a|	P|a|u|l|i|n|e|
S|ú|r|a|n|g|a|m|a|	Ś|ū|r|a|ṅ|g|a|m|a|
C|h|a|r|l|e|s|	C|h|a|r|l|e:s|':s|
E|z|á|f|e|	E|z|ā|f|e|
Y|a|n|e|z|	Y|á|n|e|z|
P|e|t|r|o|v|i|c|s|	P|e|t|r|o|v|i|c|h|
N|u|r|s|i|a:i|	N|u|r|s|i|a|
S|a|r|d|a|u|k|a:r|o:k|	S|a|r|d|a|u|k|a|r|
g|a|r|i|s|s|a:i|	G|a|r|i|s|s|a|
A|n|t|i|m|i|l|i|t|a|r|i|z:m|u:s|	A|n|t|i|m|i|l|i|t|a|r|i|s|m|
u|r|g|e|l|l:i|	U|r|g|e|l|l|
i|n|t|e|r|n|a|	I|n|t|e|r|n|a:l|
S|í|l|a|	Ś|ī|l|a|
w|i|m|b|l|e|d|o|n:i|	W|i|m|b|l|e|d|o|n|
h|i|e|r|a|r|c|h|i:a|	h|i|e|r|a|r|c|h|y|
A|r|b|e|r|e|s|e:k|	A|r|b|ë|r|e|s:h|ë|
B|a|n|d:a|	B|a|n|d|
I|v|á|n|c|s|i|c|s|	I|v|a|n|i:c|s|i|c|s|
K|a|r|p|a|t|i|	K|a|r|p|a|t|y|
a|u|r|i|c|u|l|a:r|i:s|	a|u|r|i|c|u|l|a|r|
D|a|k|a|r|b|a|z|i|n|	D|a|c|a|r|b|a|z|i|n:e|
T|á|b|o|r|i|	T|a|b|o|r|i|
S|z|é|k|e|l|y|	S|z|é|k|e|l|y:s|
O|x|f|o|r|d:i|	O|x|f|o|r|d|
k|o|b|r|a|	c|o|b|r|a|
T|a|n|g|a:i|	T|a|n|g|a|
D|o|m|i|t|i|a:n|u:s|	D|o|m|i|t|i|a|n|
A|n|a|t|ó|l|i|a|	A|n|a|t|o|l|i|a|
m|e|n|ü|	m|e|n|u|
V|e|t|e|r|á|n|o:k|	V|e|t|e|r|a|n|s|
F|o|t|o|r|e|c|e|p|t|o|r|	P:h|o|t|o|r|e|c|e|p|t|o|r|
A|m|i|n|o|f|e|n|a|z|o|n|	A|m|i|n|o|p:h|e|n|a|z|o|n:e|
T|ó|m|á|	T|o|m|a|
a|u|t|o|m|a|t|a|	a|u|t|o|m|a|t|i:c|
M|A|D|I|	M|a|d|í|
M|o|h|a|m|m|a|d|	M|u|h|a|m|m|a|d|
B|a|u|x|i|t|	B|a|u|x|i|t:e|
E|r|a|z|m|u|s|	E|r|a|s|m|u|s|
R|ó|m|a|–|F|o|r|m|i|a|–|N|á|p:o|l|y|	R|o|m|e|–|F|o|r|m|i|a|–|N|a|p|l:e|s|
L|u|h|a|n|s|z:k|	L|u|h|a|n|s|k|
O|p|e|r|a|n:d|u:s|	O|p|e|r|a|n|d|
F|u|g|a|c|i|t|á:s|	F|u|g|a|c|i|t|y|
B|u|k|u|r|a|	B|u|c|u|r|a|
C|l|a|v|e|r|i|n|g:i|	C|l|a|v|e|r|i|n|g|
L|i|b|e|r|á:l|i:s|	L|i|b|e|r|a|l|
D|a|h|ú|k|	D|o|h|u|k|
T|e|r|n|o|p|i|l:i|	T|e|r|n|o|p|i|l|
m|a|l|a|m|u|t|	M|a|l|a|m|u|t:e|
B|a|n|a|u|e:i|	B|a|n|a|u|e|
W|o|g|n|á|r|	W|o|g|n|a|r|
S|p|i|n|o|c|e|r|e|b|e|l|l|á:r|i:s|	S|p|i|n|o|c|e|r|e|b|e|l|l|a|r|
A|l|c|ú|d|i|a|	A|l|c|u|d|i|a|
G|r|e|e|n|w|i|c|h:i|	G|r|e|e|n|w|i|c|h|
L|o|t|t|i|	L|o|t|t|i:e|
L|i|p|n|i|ț|a|	L|i|p|n|i|ţ|a|
C|a|n|a|l:e|s|	c|a|n|a|l|s|
L|y|o|n:i|	L|y|o|n|
R|á|m|a|	R|a|m|a|
U|g|a|s|	U|g|á|s|
K|a|t|u|n:y|	K|a|t|u|n|
r|a|i|m|o|n|d|i|i|	R|a|i|m|o|n|d|i|':s|
M|a|k|o:i|	M|a|k|o|
F|e|n|g|l|u|t|á|r|i|m|i|d|	P:h|e|n|g|l|u|t|a|r|i|m|i|d:e|
t|o|r|n|i|e|r|i|	T|o|r|n|i|e|r|':s|
P|e|l:l|a|g|ó|n|i|a:i|	P|e|l|a|g|o|n|i|a|
E|u|r|ó|p|a|	E|u|r|o|p|e|
E|u|r|ó|p|a|	E|u|r|o|p|a|
B|r|ó|d|y|	B|r|o|d|y|
K|o|n|d|u|r|á|n|g|ó|	c|o|n|d|u|r|a|n|g|o|
L|u|d|o|v|i|k|a|	L|u|d|o|v|i|c|a|
G|e|l|s|o|n|	G|é|l|s|o|n|
O|d|o|b|e|s|t|	O|d|o|b|e|ș|t:i|
T|e|n|e|r|i|f|e:i|	T|e|n|e|r|i|f|e|
U|n|c|i|k|l|o|p|é|d|i|a|	U|n|c|y|c|l|o|p|e|d|i|a|
V|a|v|r|e|c:s|k|a|	V|a|v|r|e|č|k|a|
S|e|n|t|i|n|u|m:i|	S|e|n|t|i|n|u|m|
M|a|g|n|e|t|o|m|é|t|e|r|	M|a|g|n|e|t|o|m|e|t|e|r|
M|a|m|e|r|t|i|n|u:s|	M|a|m|e|r|t|i|n|e|
B|ř|e|c|l|a|v:i|	B|ř|e|c|l|a|v|
E|h|ú|d|	E|h|u|d|
M|a|d|á|i|n|	M|a|d|a:'|i|n|
Î|n|s|u|r|ă|ț|e|i|	Î|n|s|u|r|ă|ţ|e|i|
L|i|b|e|r|t|á|r|i|u:s|	L|i|b|e|r|t|a|r|i:a|n|
N|e|z|a|h|u|a|l|c|ó|y|o|t|l|	N|e|z|a|h|u|a|l|c|o|y|o|t|l|
C|h|o|j|n|i|c|e:i|	C|h|o|j|n|i|c|e|
p|a|l|a|u:i|	P|a|l|a|u|
B|i|r|r|a|n|g|a|	B|y|r|r|a|n|g|a|
T|a|s|n|á|d|	T|ă|ș|n|a|d|
M|i|j|a|d|i|n|o|s|z:k|i|	M|i|j|a|d|i|n|o|s|k|i|
L|o|u|l|a|n:i|	L|o|u|l|a|n|
V|u|n|g|	V|ũ|n|g|
Z|i|m|b|a|b|w|e:i|	Z|i|m|b|a|b|w|e|
B|a|t|y:k|i|v|	B|a|t|k|i|v|
H|a|n|g|u|k|	H|a|n|k|u|k|
B|a|l|l|e|s|t|e|r|o:s|	B|a|l|l|e|s|t:r|e|r|o|
P|e|n|t|a|m|e|r|o|n|	P|e|n|t|a|m|e|r|o|n:e|
Ü|z|b|é|g|	U|z|b|e|k|
B|u|t|e|n|a|f|i|n|	B|u|t|e|n|a|f|i|n:e|
G|a|l|a|n|o|l|a|k|t|o|n|	G|a|l|a|n|o|l|a|c|t|o|n:e|
F|i|l|i|b|e|r|t|	P:h|i|l|i|b|e|r|t|
G|í|t|a|	G|i|t|a|
b|r|a|b|a|n|t:i|	B|r|a|b|a|n|t|
c|o|r|o|n|o|i:d|e:a|	C|o|r|o|n|o|i|d|
O|d|o|n|t|o|b|l|a|s|z:t|	O|d|o|n|t|o|b|l|a|s|t|
m|a|l|a|b|á|r|	M|a|l|a|b|a|r|
K|e|c|s|k|e|m|é|t:i|	K|e|c|s|k|e|m|é|t|
K|i|s|i|o|k|u|	K|i|s:h|i|o|k|u|
F|r|e|d|e|r|i|k|s|b|o|r|g:i|	F|r|e|d|e|r|i|k|s|b|o|r|g|
P|a|n|i|c|	P|a|n|i|c:!|
A|z|a|t|a|d|i|n|	A|z|a|t|a|d|i|n:e|
V|i|s|e|g|r|á|d:i|	V|i|s|e|g|r|á|d|
P|r|e|f|e|r|e|n|c|i:a|	P|r|e|f|e|r|e|n|c|e|
W|e|d|d|e|r|b|u|r|n|	W|e|d|d|e|r|b|u|r:n|':s|
A|w|a|r|d|	A|w|a|r|d:s|
K|y|r|i|á|l|e|	K|y|r|i|a|l|e|
H|o|r|m|o|n|á:l|i:s|	H|o|r|m|o|n|a|l|
K|a|l|o|r|i|m|é|t|e|r|	C|a|l|o|r|i|m|e|t|e|r|
Z|é|l|a|n|d|i|a|	Z|e:a|l|a|n|d|i|a|
K|r|a|l|o|v|á|n|	K|r|a|ľ|o|v|a|n:y|
W|a|c|h|o|w|s|k|i|	W|a|c|h|o|w|s|k|i:s|
V|e|n|i|z|é|l|o|s:z|	V|e|n|i|z|e|l|o|s|
A|r|g|u|n:y|	A|r|g|u|n|
p|o|l|ó|n|i|u|m|	p|o|l|o|n|i|u|m|
N|a|u|r|u:i|	N|a|u|r|u|
M|e|t|r|o|p|h|a|n|é|s:z|	M|e|t|r|o|p|h|a|n|e|s|
R|á|z|i|	R|a|z|i|
D|é|m|a|r|a|t|o:s|z|	D|e|m|a|r|a|t|u|s|
k|o|b|u|d|ó|	K|o|b|u|d|o|
S|t|r|e|s|s:z|	S|t|r|e|s|s|
T|o|n|g|a:i|	T|o|n|g|a|
E|m|a|n|c|i|p|á|c|i|ó|	E|m|a|n|c|i|p|a|t|i|o:n|
p|r|o|g|r|a|m|j|a|	p|r|o|g|r|a|m|m|e|
A|h|m|a|d|á|b|á|d|	A|h|m|e|d|a|b|a|d|
R|o|h|a|n|i|	R|o:u|h|a|n|i|
H|i|m|é|r|a:i|	H|i|m|e|r|a|
M|í|k|á|t|i|	M|i|k|a|t|i|
L|i|c|i|n|i|a:e|	L|i|c|i|n|i|a|
m|e|s|t|e|r|	m|a|s|t|e|r|
T|o|k|o|t|r|i|e|n|o|l|	T|o|c|o|t|r|i|e|n|o|l|
K|o|z|m|a|	K|o|s|m|a|
A|m|i|t|á|b|h|	A|m|i|t|a|b|h|
e|u|r|ó|p|i|u|m|	e|u|r|o|p|i|u|m|
H|e|m|a|t|o|l|ó|g|i:a|	H|e|m|a|t|o|l|o|g|y|
I|d|r|i|s:z|	I|d|r|i|s|
P|a|r|a|l|i|m|n|í:u|	P|a|r|a|l|i|m|n|i|
G|u|a|n|i|d|i|n|	G|u|a|n|i|d|i|n:e|
T|h|e|ó|d|o|r|o|s:z|	T|h|e|o|d|o|r|o|s|
D|v|o|r|i|š|ć|e|	D|v|o|r|i|š|t|e|
M|ü|n|c|h|e|n:i|	M|ü|n|c|h|e|n|
P|o|l|i|g|a|m|m|a|	P|o|l|y|g|a|m|m|a|
S|a:e|h|r|i|m|n|i|r|	S|æ|h|r|í|m|n|i|r|
M|ó|r|i|a|	M|o|r|i|a|
E|r|i|k|s|o|n|i|	E|r|i|k|s|o|n|':s|
G|i|l|b|e|r|t|	G|i|l|b|e|r:t|':s|
M|i|k|r|o|f|l|u|i|d|i|k|a|	M|i|c|r|o|f|l|u|i|d|i|c|s|
j|u|g|u|l|a|r:e|	J|u|g|u|l|a|r|
L|i|p|o|g|r|a:m|m:a|	L|i|p|o|g|r|a|m|
A|r|e|z|z|ó:i|	A|r|e|z|z|o|
k:o|r|o|n|a|	k|r|ó|n|a|
Z|o|r|á|n|	Z|o|r|a|n|
K|a|l|a|n|o|s:z|	K|a|l|a|n|o|s|
D|o|b|u|t|a|m|i|n|	D|o|b|u|t|a|m|i|n:e|
L|a|m|i|n|á:r|i:s|	L|a|m|i|n|a|r|
C|e|l|e|b|e|s:z|	C|e|l|e|b|e|s|
k|a|p|i|t|a|l|i|z|á|c|i|ó|	c|a|p|i|t|a|l|i|z|a|t|i|o:n|
l|a|u|e|n|b|u|r|g:i|	L|a|u|e|n|b|u|r|g|
T|a|k|b|í|r|	T|a|k|b|i|r|
Ó|k|u|b|o|	O|k|u|b|o|
A|u|g|é|	A|u|g|e|
K|a|l|b|i|	G|a|l|b|i|
n|u|k|l|e|o|t|i|d|	n|u|c|l|e|o|t|i|d:e|
f|é|l|v|é|r|	F|e|l|v|e|r|
D|i|v|e|r|g|e|n|s|	D|i|v|e|r|g|e|n|t|
B|á|h|a|	B|a|h|a:h|
L|u|s|o|n|	L|ü|s|e|n|
T|o|t|e|k|	T|o|t|e|c|
p|a|r|a|m|é|t|e|r|	P|a|r|a|m|e|t|e|r|
V|a|s|v|á|r:i|	V|a|s|v|á|r|
N|o|r|t|h|e|i|m:i|	N|o|r|t|h|e|i|m|
d|i|g|a|s|t|r|i:c|u:s|	D|i|g|a|s|t|r|i|c|
m|o|n|e|t|á|r|i:s|	M|o|n|e|t|a|r|y|
L|ó|k|a|v|i|b|h|á|g|a|	L|o|k|a|v|i|b|h|a|g|a|
H|a|r|u|h|i|s:z|a|	H|a|r|u|h|i|s|a|
M|á|r|k|	M|a|r|k|
F|u|n|d|á|t|a|	F|u|n|d|a|t|a|
D|i|k|l|o|f|e|n|á|k|	D|i|c|l|o|f|e|n|a|c|
H|á|g|á|r|	H|a|g|a|r|
M|a|l|é|n|a|	M|a|l|è|n|a|
A|r|e|t|h|u|s:z|a|	A|r|e|t|h|u|s|a|
a|r|c|h|i|t|e|c|h:t|ú|r|a|	a|r|c|h|i|t|e|c|t|u|r|e|
Á|z|a|r|	A|z|a|r|
V|i|e|n|t|i|á|n|	V|i|e|n|t|i|a|n:e|
E|u|r|y|p|t|e|r|i:d|á:k|	E|u|r|y|p|t|e|r|i|d|
P|o|l|g|á|r|	P|o|l|g|a|r|
A|n|t|e|n|o|r|e:o|	A|n|t|e|n|o|r|i|
P|e|d|a|g|ó|g|i:a|	P|e|d|a|g|o|g|y|
E|l|í|g|i|u|s:z|	E|l|i|g|i|u|s|
W|a|s|h|i|n|g|t|o|n:i|	W|a|s|h|i|n|g|t|o|n|
K|u|l|á|k|	K|u|l|a|k|
H|e|k|a|t|o|n|k|h|e|i|r|e|k|	H|e|k|a|t|o|n|k|h|e|i|r|e|s|
K|a|z|a|n:y|	K|a|z|a|n|
K|o|r|e|a:i|	K|o|r|e|a|
N|a|g|a|d|a|	N|a|q|a|d|a|
M|i|l|e|v|s|z:k|i|j|	M|i|l|e|v|s|k|i|y|
H|o|l|s|t|e|i|n|i|	H|o|l|s|t|e|i|n|e:r|
C|h|i|l:l|i|	C|h|i|l|i|
I|s|l|a|n|d:s|	I|s|l|a|n|d|
C|h|i|n|d|a|s|w|i|n|t|h|	C|h|i|n|d|a|s|u|i|n|t|h|
G|u|l|l|i|v|e|r|	G|u|l|l|i|v|e:r|':s|
M|e|r:e|n|p|t|a|h|	M|e|r|n:e|p|t|a|h|
D|a|n|i|o|n|i:n|a:e|	D|a|n|i|o|n|i|n|
A|t|a|l|a|n|t|é|	A|t|a|l|a|n|t|a|
M|a|h|á|d|é|v|i|	M|a|h|a|d|e|v|i|
I|n|d|i|v|i|d|u|u:m|	I|n|d|i|v|i|d:u|a|l|
M|a|r|q|u|i|s|e|s|	M|a|r|q|u|e|s|a|s|
P|á|r|k|á|n|y:i|	P|á|r|k|á|n|y|
R|á|f|e|	R|a|f|e|
P|a|n|s|h|a|r|p|e|n|i|n:g|	P|a|n|s|h|a|r|p|e|n|e|d|
Ó|r|i|ó|n|	O|r|i|o|n|
R|e|p|i|s|t:y|e|	R|e|p|i|š|t|e|
P|i|t|t|s|b|u|r|g|h:i|	P|i|t|t|s|b|u|r|g|h|
L|é|v|a|y|	L|e|v|a|y|
K|a|b|a|n|s|z:k|i|	K|a|b|a|n|s|k|y|
E|r|n|s|t|	E|r|n:e|s|t|
G|a|m|p|ó|p|a|	G|a|m|p|o|p|a|
C|s|o|r|b|a|	C|z|o|r|b|a|
K|o|m|o|d|ó:i|	K|o|m|o|d|o|
N|e|u|r|o|p|s:z|i|c|h|o|l|ó|g|i:a|	N|e|u|r|o|p|s|y|c|h|o|l|o|g|y|
A|n|d|r|e|j|e|v|i|c|s|	A|n|d|r|e|y|e|v|i|c|h|
K|a|o|l|i|n|i|t|	K|a|o|l|i|n|i|t:e|
A|g|a|p|é|t|o:s|z|	A|g|a|p|e|t|u|s|
L|i|z|z|i|e:!|	L|i|z|z|i|e|
K|o|h|l|e|r|	K|ö|h|l|e|r|
K|u|m|á|r|	K|u|m|a|r|
K|i|l|o|g|r|a|m:m|	K|i|l|o|g|r|a|m|
H|a|n:n|o|v|e|r|–|H|a|m|b|u|r|g|	H|a|n|o|v|e|r|–|H|a|m|b|u|r|g|
L|o|y|o|l|a:i|	L|o|y|o|l|a|
F|á|c|i|e|s|	F|a|c|i|e|s|
B|e|n|z|o|n|i|t|r|i|l|	B|e|n|z|o|n|i|t|r|i|l:e|
J|ú|d|a|	J|u|d|a:h|
H|i|l|á|r|i|ó|n|	H|i|l|a|r|i|o|n|
c|e|r|e|m|o|n|i|á:l|i:s|	c|e|r|e|m|o|n|i|a|l|
H|á|r|e|m|	H|a|r|e|m|
V|a|n|h|e|i|m|	V|a|n:a|h|e|i|m:r|
M|a|r|t|i|n|o|v|	M|a|r|t|y|n|o|v|
D|o|n|a|	D|o|n|à|
B|i|z|o|p|r|o|l|o|l|	B|i|s|o|p|r|o|l|o|l|
A|r|e|e|i|r|o|	A|r|i|e|i|r|o|
t|r|a|n|s:z|f|o|r|m|á|c|i|ó|	t|r|a|n|s|f|o|r|m|a|t|i|o:n|
N|i|k|o|l|ó|p|u|l|o|s:z|	N|i|k|o|l|o|p|o:u|l|o|s|
d|u|n|á|n|t|ú|l:i|	D|u|n|á|n|t|ú|l|
k|a|m|e|r|a|	c|a|m|e|r|a|
I|m|i|p|r|o|t|r|i|n|	I|m|i|p|r|o|t:h|r|i|n|
C|e|c|h|	Č|e|c|h|
M|a|h|á|m|u|d|r|á|	M|a|h|a|m|u|d|r|a|
E|m|e|t|o|f|ó|b|i|a|	E|m|e|t|o|p:h|o|b|i|a|
J|á|s|o|n|	J|a|s|o|n|
B|a|d|í|	B|a|d|i:e|
B|u|t|i|l|	B|u|t|y|l|
F|e|l|o|d|i|p|i|n|	F|e|l|o|d|i|p|i|n:e|
M|o|d|d|e|r:i|	M|o|d|d|e|r|
S|o|l|e:a|	s|o|l|e|
K|o|l|o|z|s|v|á|r:i|	K|o|l|o|z|s|v|á|r|
N|e|o|d|a|m|ó|d|é|s:z|	N|e|o|d|a|m|o|d|e|s|
D|a|m|á|v|a|n|d|	D|a|m|a|v|a|n|d|
A|l|z|h|e|i|m|e|r|	A|l|z|h|e|i|m|e:r|':s|
T|e|t|r|a|n|i|t|r|o|g|é|n|	T|e|t|r|a|n|i|t|r|o|g|e|n|
B|e|h|n|á|m|	B|e|h|n|a|m|
V|a|r|n|a|l|i|s:z|	V|a|r|n|a|l|i|s|
B|u|r|g|u|n|d|i|	B|u|r|g|u|n|d:i|a:n|
b|a|l|l|a|d|a|	B|a|l|l|a|d|e|
G|r|e|g|o|r|i|a|n:a|	G|r|e|g|o|r|i|a|n|
D|i|n|i|t|r|o|g|é|n|	D|i|n|i|t|r|o|g|e|n|
P|r|é|t|a|	P|r|e|t|a|
B|a|d|í|	B|a|d|i:'|
A|n|d|r|e|u|s:z|	A|n|d|r|e|u|s|
V|o|l|u|n|t|a|r|i|z:m|u:s|	V|o|l|u|n|t|a|r|i|s|m|
B|l|a|n|f|o|r|d|	B|l|a|n|f|o|r:d|':s|
K|ó|t|o|k|u|	K|ō|t|o|k|u|
h|e|r|c|e|g|o|v|i|n|a:i|	H|e|r|z|e|g|o|v|i|n|a|
A|n|a|b|a|z|i|n|	A|n|a|b|a|s|i|n:e|
Á|n|a|n|d|	A|n|a|n|d|
Ó|t|a|k|e|	O|t|a|k|e|
I|s|e|n|h|e|i|m:i|	I|s|e|n|h|e|i|m|
H|e|t|e|r|o|s:z|e|x|u|a|l|i|t|á:s|	H|e|t|e|r|o|s|e|x|u|a|l|i|t|y|
e|l|e|g|á|n|s|	E|l|e|g|a|n|t|
B|a|r|a|b|á|s|	B|a|r|a|b|a|s|
K|a|m|i|n|a|l|j|u|y|ú|	K|a|m|i|n|a|l|j|u|y|u|
A|t|k|a|r|s|z:k|i|	A|t|k|a|r|s|k|y|
M|a|r|g|a|r|e|t:e|	M|a|r|g|a|r|e|t|
A|u|t|o|b|o:t|o:k|	A|u|t|o|b|o|t|
S|p|e|s|s|a|r|t|i|n|	S|p|e|s|s|a|r|t|i|n:e|
W|a|l|r|a|s|	W|a|l|r|a|s:'|
m|a|l|á|t|	m|a|l|a|t:e|
C|a|r|m|e|n|t|i:s|	C|a|r|m|e|n|t|a|
N|a|n|o|b|a|k|t|é|r|i|u|m|	N|a|n|o|b|a|c|t|e|r|i|u|m|
O|t|ł|o|c|z|y|n:i|	O|t|ł|o|c|z|y|n|
B|é|s|k|a|	B|e|š|k|a|
I|s|a|l:i|o|v|i|ć|	I|s|a:i|l|o|v|i|ć|
M|a|s:s|a|l|a|v|é|s|	M|a|s|a|l|a|v|é|s|
F|i|s|á|g|	F|i|ș|a|g|
S|í|k|	S|i|k|
G|r|e|k|	G|r:e|e|k|
M|o|r|n|i|n|g|	M|o|r|n|i|n|'|
S|z|e|d|l|a|c|s|i|k|	S|z|e|d|l|a|c|s|e|k|
H|a|d|r|i|a|n:u|s|	H|a|d|r|i|a|n|':s|
B|r|i|s|i|n|g|a|m|e|n|	B|r|í|s|i|n|g|a|m|e|n|
L|u|c|i|á|n|a|	L|u|c|i|a|n|a|
s|t|r|a|t|h|e|a|r|n:i|	S|t|r|a|t|h|e|a|r|n|
R|a|m|á|d|i|	R|a|m|a|d|i|
N|e|g|l|e|k|t|	n|e|g|l|e|c|t|
R|e|p|l|i|k|á|n|s|	R|e|p|l|i|c|a|n|t|
B|u|d|a|p|e|s|t:i|	B|u|d|a|p|e|s|t|
P|a|ë|r|	P|a|e|r|
G:ö|r|g|e|t|e|g|	G|r|g|e|t|e|g|
A|c|e|t|o|g|é|n|	A|c|e|t|o|g|e|n|
D|e|s|a|r|g|u|e|s|	D|e|s|a|r|g|u|e:s|':s|
O|l|i|k|a|	O|l|y|k|a|
C|o|r|t|o|n|a:i|	C|o|r|t|o|n|a|
V|e|d|r|u|n|a:i|	V|e|d|r|u|n|a|
K|l|á|r|a|	C|l|a|r|a|
B|a|k|o|p|a|	B|a|c|o|p|a|
I|r|r|e|d|e|n|t|i|z:m|u:s|	I|r|r|e|d|e|n|t|i|s|m|
R|e|n|e|	R|e|n|é|
T|e|c|h|n|a|r|c|h|i|	T|e|c|h|n|a|r|c|h|y|
M|á|r|i|a|	M|a|r|í|a|
B|é|k|é|s|s|y|	B|é|k|e|s|s|y|
M|e|n|t|ó|r|	M|e|n|t|o|r|
T|r|a|n|s:z|p|o|n|d|e|r|	T|r|a|n|s|p|o|n|d|e|r|
M|o|n|t|e|n|e|g|r|ó:i|	M|o|n|t|e|n|e|g|r|o|
M|e|s|t|e|r|	M|a|s|t|e|r|
m|o|d|e|n|a:i|	M|o|d|e|n|a|
F|r|i|d|e|r|i|k|a|	F|r|e|d|e|r|i|c|a|
I|m|i|d|a|z|o|l|	I|m|i|d|a|z|o|l:e|
P|o|l|i|m|e|r|i|z|á|c|i|ó|	P|o|l|y|m|e|r|i|z|a|t|i|o:n|
R|a|f|a|e|l:l|a|	R|a|f|a|e|l|a|
m|é|d|i|a|	m|e|d|i|a|
K|l|i|n|g|o:n|o:k|	K|l|i|n|g|o|n|
K|o|n|c|e|r|t|m|e|s|t|e|r|	C|o|n|c|e|r|t|m|a|s|t|e|r|
M|o|h|i|k|á|n|	M|o|h|i|c|a|n|
M|e|n|g|i|s|z:t|u|	M|e|n|g|i|s|t|u|
S|o|c|o|r|r|ó:i|	S|o|c|o|r|r|o|
Ó|o|k|a|	Ō|o|k|a|
G|u|s|t|a|v|	G|u|s|t|a|f|
G|n|ó|m|e|ó|	G|n|o|m|e|o|
N|o|b|é|l|i|u|m|	N|o|b|e|l|i|u|m|
N|u|m|e|n|i|o:s|z|	N|u|m|e|n|i|u|s|
S|e|b|e|s|	S|e|b|e|ș|
G|e|n|r|ó|	G|e|n|r|ō|
N|e|o|p|r|o|t|e|r|o|z|o|i:k|u:m|	N|e|o|p|r|o|t|e|r|o|z|o|i|c|
P|i|t|s|a:i|	P|i|t|s|a|
T|a|c|h|o|v:i|	T|a|c|h|o|v|
E|r|r|a|d|u|p|i|z|i|r|	E|r|r|i|d|u|p|i|z|i|r|
u|n|i|f|o|r:m|i:s|	U|n|i|f|o|r|m|
k|o|a|t|i|	c|o|a|t|i|
H:r|i|n|g|	R|i|n|g|
R|a|o|n|i|ć|	R|a|o|n|i|c|
A|n|z|e|l|m|	A|n|s|e|l|m|
L|á|s|z|l|ó|	L|a|s|z|l|o|
N|a|n|t|u|a|t|á:k|	N|a|n|t|u|a|t:e|s|
Á|m|o|n|	A|m|o|n|
P|u|d|i|n|g|	P|u|d:d|i|n|g|
E|t|i|l|e|f|r|i|n|	E|t|i|l|e|f|r|i|n:e|
E|l|o|h|i|s|t:a|	E|l|o|h|i|s|t|
P|é|c|r|o|t:i|	P|é|c|r|o|t|
B|o|l|d|ó|	B|o|l|d|o|
K|e|l|l|i|	K|e|l|l|y|
B|e|l|l|á|k|	B|e|l|l|a|k|
B|r|o|o|k|l|y|n|	B|r|o|o|k|l|y:n|':s|
P|a|l|ó|m|a|	P|a|l|o|m|a|
t|á|b|l|á|s|	T|a|b|l|e|s|
D|h|a|r|a|m|s:z|a|l|a|	D|h|a|r|a|m|s|a|l|a|
L|á|s|z|l|ó|	L|a|s|z|l|ó|
M|u|c|h|a|	¡:M|u|c|h|a|
